type,clients,size,initialStock,amountLimit,isolation,noCollision,initialNodes,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub
normal,1,1,8192,3,4,false,0,340.60555555555555,0.0,2.924234768614722,37.49315100853781,0.4977004848380845,3.912486,2.767724029260009,3.08041399305895
mrv,1,1,8192,3,4,false,1,306.49444444444447,0.0,3.2579113580996575,37.764452715336525,0.4631910438717954,4.187603,3.2592872165501254,3.2565338526915264
mrv,1,1,8192,3,4,false,2,310.9277777777778,0.006761553205082649,3.18666101450855,42.00264736443305,0.5001574080073121,4.156249,3.1848939465191006,3.1884314324498337
mrv,1,1,8192,3,4,false,4,306.8888888888889,0.00813387678882449,3.2231324549239684,39.230540324059355,0.5400499529087237,4.263666,3.2249100656244316,3.2213695855417344
mrv,1,1,8192,3,4,false,8,308.9888888888889,0.005489494859186372,3.212444960965874,40.0441741374815,0.5836421437176244,4.399231,3.2127937850154664,3.2120963124820245
mrv,1,1,8192,3,4,false,16,297.2944444444444,0.0031853066090454796,3.348803478463177,40.07260118850625,0.6129077347179244,4.598572,3.354178191210024,3.3434373964074986
mrv,1,1,8192,3,4,false,32,300.10555555555555,0.0021059242975633996,3.3218867254484534,38.16455127282658,0.6355354121699007,4.578887,3.323112752208464,3.3206565610072687
mrv,1,1,8192,3,4,false,64,294.9277777777778,0.002180328176982549,3.3802815591199353,35.98192038748406,0.6343444788714389,4.600362,3.38247256416739,3.378097559091251
mrv,1,1,8192,3,4,false,128,297.65555555555557,0.001881555170550886,3.350194090167606,38.474938791799005,0.627162532697253,4.538795,3.352632965178437,3.347795842007848
mrv,1,1,8192,3,4,false,256,298.2944444444444,0.0016177017478616884,3.343714709887695,32.2683159722703,0.6641836477392378,4.604336,3.342708993052989,3.344736703390785
mrv,1,1,8192,3,4,false,512,301.28333333333336,4.6077853140669145E-4,3.3156703371134593,36.40745856573466,0.6129238325336829,4.528462,3.3170703791192553,3.314275191620955
mrv,1,1,8192,3,4,false,1024,300.5444444444444,1.1089753068160846E-4,3.324983206292284,37.901950386982136,0.5938125913089378,4.509214,3.3271208731906743,3.3228293563662
