type,clients,size,initialStock,amountLimit,isolation,noCollision,initialNodes,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub
normal,1,1,8192,3,4,false,0,12578.483333333334,0.0,0.07926233064311322,1290.2005753400679,0.04471976998893401,0.09292,0.0,0.0
mrv,1,1,8192,3,4,false,1,9712.05,0.0,0.10273654024696698,920.4408849280105,0.04940133691822316,0.133269,0.0,0.0
mrv,1,1,8192,3,4,false,2,10039.372222222222,0.0,0.09931787335086799,1229.0772594003859,0.04865932452907424,0.121368,0.0,0.0
mrv,1,1,8192,3,4,false,4,10024.6,0.0,0.09947189169919775,1212.3108250240894,0.04296120284811914,0.121831,0.0,0.0
mrv,1,1,8192,3,4,false,8,9779.111111111111,0.0,0.10193581341521611,1072.6252723584137,0.044846628518430236,0.128342,0.0,0.0
mrv,1,1,8192,3,4,false,16,9679.794444444444,0.0,0.10302891412294682,1184.8093356030017,0.044623367181673396,0.125134,0.0,0.0
mrv,1,1,8192,3,4,false,32,9311.672222222222,0.0,0.10708053062852417,1134.5381828162394,0.042081132436964735,0.130055,0.0,0.0
mrv,1,1,8192,3,4,false,64,8988.083333333334,0.0,0.11098971903909806,1042.3631354650213,0.042928925016163515,0.134292,0.0,0.0
mrv,1,1,8192,3,4,false,128,8214.227777777778,0.0,0.12142882500350002,983.4889260917471,0.04350334113845455,0.147242,0.0,0.0
mrv,1,1,8192,3,4,false,256,6978.855555555556,0.0,0.14296212144461765,838.2307542979917,0.04318319245305285,0.176229,0.0,0.0
mrv,1,1,8192,3,4,false,512,5203.25,0.0,0.1918686334310287,624.8119041665542,0.04652094954071008,0.240815,0.0,0.0
mrv,1,1,8192,3,4,false,1024,3209.588888888889,0.0,0.31106614900316065,401.64271940654857,0.046560105493992664,0.369424,0.0,0.0
