type,clients,size,initialStock,amountLimit,isolation,noCollision,initialNodes,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub
normal,1,1,8192,3,4,false,0,969.7888888888889,0.0,1.0266246290028758,129.60008396874548,0.1754122556206758,1.254581,1.026044968533474,1.027202843471793
mrv,1,1,8192,3,4,false,1,907.7,0.0,1.098546843615732,120.25936431680631,0.20120279287228027,1.495904,1.093297802079506,1.1037908757891646
mrv,1,1,8192,3,4,false,2,892.1777777777778,4.981320049812776E-5,1.1183321690744246,119.46137505787783,0.19980799515491832,1.326746,1.1123173533714457,1.1243197799150078
mrv,1,1,8192,3,4,false,4,886.0833333333334,0.006125450217475348,1.1195401850967115,124.85839626411617,0.20885485109199667,1.448446,1.1134307242693136,1.1256558544920774
mrv,1,1,8192,3,4,false,8,897.8222222222222,0.00349622321566212,1.1076578063462204,124.74679033685156,0.1960078815058427,1.43331,1.1020582387321498,1.1132391090861915
mrv,1,1,8192,3,4,false,16,905.75,0.0017939361285266298,1.0996942916122305,127.1006143827424,0.19827182343620672,1.312577,1.094157684359119,1.1052239075997008
mrv,1,1,8192,3,4,false,32,875.9,9.758199422111868E-4,1.1382327814438482,93.14549340239964,0.2317930653807519,1.572289,1.1322231105867169,1.1442733303106996
mrv,1,1,8192,3,4,false,64,880.3611111111111,5.928392585725639E-4,1.1329368980531977,124.88321459500352,0.19897295279877666,1.461468,1.1265401923554295,1.1392894341630297
mrv,1,1,8192,3,4,false,128,878.6611111111112,2.465265047598697E-4,1.1357505766538736,114.40498940739947,0.18172319097600365,1.328762,1.127680341122618,1.1438215265820224
mrv,1,1,8192,3,4,false,256,835.4444444444445,1.529224815994823E-4,1.1946210403112116,112.27981037120372,0.17731456108900237,1.398932,1.183089211470917,1.2061448967108064
mrv,1,1,8192,3,4,false,512,776.2944444444445,6.440440239874334E-5,1.2858310336141068,104.32031194192302,0.18464687416646844,1.59255,1.2662010419415646,1.3055508579769608
mrv,1,1,8192,3,4,false,1024,667.0944444444444,3.331084851054822E-5,1.496811321618628,66.91266793903047,0.2089401432428246,1.810844,1.4593565313803345,1.534145902752141
