mode,name,cc,isolation,threads,warehouses,throughput,abort_rate,latency
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,10,218685.40319589086,0.0002499936710463026,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,11,215948.88204978436,0.00020313784489790735,0.000148
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,12,218513.78552513267,0.0001456341417083518,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,13,220007.55307436126,0.00017141714361899684,0.000145
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,14,218580.93676650562,0.00014945163967527658,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,15,218256.6237370452,0.00013031717930054638,0.000147
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,16,215920.4280790687,0.00010480748770100012,0.000148
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,17,200149.81358530806,9.461901652994219e-05,0.00016
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,18,221075.4300421405,0.00010458759210839078,0.000145
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,19,219113.9029624766,8.26840515185244e-05,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,2,206371.6471892324,0.001360841316408265,0.000155
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,20,219770.6302440765,8.87941751021133e-05,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,21,219150.13094082708,0.00010451471915628118,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,22,203853.6816373904,7.002043323551692e-05,0.000157
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,23,219651.1200358595,7.270773072849985e-05,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,24,218774.97576599245,5.987816369429361e-05,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,3,214760.55508773957,0.0007375573123539253,0.000149
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,4,215954.09741812348,0.0005082172374581515,0.000148
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,5,195286.3105770184,0.0004912672461918813,0.000164
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,6,213972.56568475603,0.0004618645408243966,0.00015
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,7,218242.38009007022,0.00038344408846467085,0.000147
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,8,218989.71034818963,0.0002851638741730248,0.000146
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,9,216739.47959773353,0.0002126444077694554,0.000148
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,10,387364.39775853796,0.018130576273297727,8.3e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,11,339931.84179020685,0.015893288808034492,9.4e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,12,387247.835673786,0.014591083927107637,8.3e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,13,388012.8038538919,0.01282272566082855,8.2e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,14,338874.3993242897,0.011300909102340027,9.4e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,15,387909.6860200105,0.010078817918731912,8.2e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,16,388861.46096202557,0.008082451687482723,8.2e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,17,387987.9434599048,0.00805369974721734,8.2e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,18,391461.7566391003,0.007157274836214555,8.2e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,19,386539.56602448487,0.006952862481550105,8.3e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,2,317558.57367025595,0.10536585365853658,0.000101
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,20,386377.7997670966,0.006157429470448441,8.3e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,21,384468.79590112716,0.00567540835447918,8.3e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,22,386651.4573219986,0.005115691151516672,8.3e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,23,379037.2542346926,0.004596917287061067,8.4e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,24,388726.61530177103,0.0041651021238865455,8.2e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,3,351953.23446232773,0.07255828495917693,9.1e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,4,363853.4055260118,0.053846107716203004,8.8e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,5,336028.2480777211,0.04215100786619849,9.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,6,376160.21072414523,0.034785241734949485,8.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,7,383214.78692040243,0.02894567120174442,8.4e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,8,375669.0662472422,0.023739073824385157,8.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,9,375435.68948127894,0.021508965159184885,8.5e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,10,108905.94340490694,0.6684834897577405,0.000294
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,11,120588.62033157144,0.6386701064692458,0.000265
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,12,136213.1347466884,0.6068171464353903,0.000235
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,13,146941.93891540464,0.5747005482593324,0.000218
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,14,158898.37008465634,0.5452547814505551,0.000201
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,15,174062.48205637973,0.5151014468082266,0.000184
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,16,184966.8453452001,0.48737868580638427,0.000173
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,17,200298.8774311808,0.4536555629981677,0.00016
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,18,216444.29000488052,0.4206740094208922,0.000148
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,19,230754.2921054358,0.3873981370679339,0.000139
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,2,3188.3054376749437,0.9714180956931865,0.010037
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,20,242274.75246934348,0.3540115141961277,0.000132
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,21,251722.55462482825,0.32286124139053646,0.000127
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,22,271009.42199167336,0.29267204508478556,0.000118
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,23,284924.1101309285,0.260282350885329,0.000112
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,24,299790.069677663,0.2278225874292944,0.000107
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,3,7525.0166191635935,0.9399941512157851,0.004252
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,4,14053.519980076668,0.8993387234498839,0.002277
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,5,24293.020808243073,0.8548604435056595,0.001317
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,6,38739.698505889064,0.8089084361692883,0.000826
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,7,57793.71844527578,0.7671574067656686,0.000554
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,8,76082.49169249693,0.732732581597514,0.000421
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,9,91474.72534100153,0.6998708409057138,0.00035
