mode,name,cc,isolation,threads,warehouses,throughput,abort_rate,latency
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,1,423033.9134459754,3.3556296279725284e-05,7.6e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,10,918457.7921560335,1.2908775045571373e-05,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,11,882488.7925681982,1.051069785608888e-05,3.6e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,12,901173.6310104225,7.081689650683855e-06,3.6e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,13,888446.4734103563,7.146554390894065e-06,3.6e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,14,909407.8395853544,8.425993989232928e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,15,906847.399635293,6.727808994811514e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,16,835440.3753924506,5.602318437098157e-06,3.8e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,17,905407.3906491655,6.790251507520713e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,18,910843.4462723422,4.8610402209412225e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,19,923074.8452771584,3.69452337289832e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,2,920873.3794946949,2.567542412591228e-05,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,20,910348.3733523217,5.027960488275299e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,21,909611.1684270555,6.011106521148909e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,22,903632.8327011714,3.045551295543682e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,23,902892.1954105708,4.5376073405921086e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,24,912326.7790456197,3.380547182127994e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,3,917076.2848266365,2.1151844863909032e-05,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,4,943580.956324893,1.383193057315472e-05,3.4e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,5,917382.6556687504,1.3667432042861066e-05,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,6,918832.8490568915,1.378106790503567e-05,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,7,925877.949228934,6.630191771666803e-06,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,8,918112.4362399284,1.1961975954377707e-05,3.5e-05
TPC_C,ESCROW,WAIT_DIE,SERIALIZABLE,32,9,924162.0502469259,9.904713355944694e-06,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,1,629061.9014337033,0.16329651695744604,5.1e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,10,922869.1149251955,0.0023635431053615516,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,11,917596.2710945376,0.001938646204925047,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,12,914662.8790366428,0.0018619486716488893,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,13,912247.0974034,0.001733186555246874,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,14,906612.253436618,0.0015090520918495812,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,15,915061.8960877121,0.0013660780543183768,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,16,914957.6465933382,0.0011003954886756328,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,17,911570.8890073173,0.0010458981213646475,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,18,910538.5695072678,0.0009217143686957625,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,19,906375.0850206115,0.000900654136437229,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,2,901778.9009263878,0.02183265725257118,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,20,906839.390186511,0.0008462159234712481,3.5e-05
