type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uniform,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,275.3333333333333,0.0,3.621599220520581,55.448985563308554,0.5871712626772584,4.855939,3.4225045792860613,3.8195402472235633,0.0,0.0,0.0,0.0,0.0
mrv,1,1,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,237.75,0.0,4.197103909288469,57.87171156964342,0.7185618375740752,5.560617,4.2044218507526265,4.189969346947252,1.2695924764890283,5.446153846153846,0.0,0.0,0.0
normal,1,2,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,276.8833333333333,0.0,3.602629965870102,63.33767967542438,0.581318246663236,4.836185,3.4259549151637403,3.784550225778864,0.0,0.0,0.0,0.0,0.0
mrv,1,2,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,235.58333333333334,0.0,4.238379767244429,51.423940598389244,0.7313929045335028,5.695149,4.240510294117647,4.236266952233338,2.3718354430379747,5.076923076923077,0.0,0.0,0.0
normal,1,8,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,279.0,0.0,3.5810332739545996,63.8866496225933,0.5865535262581754,4.835826,3.4022042914830255,3.7609337302576393,0.0,0.0,0.0,0.0,0.0
mrv,1,8,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,239.2,0.0,4.1772312506270906,54.141832255659764,0.873793550549547,5.925024,4.166509189643204,4.1880343007413625,8.279264214046822,5.461538461538462,0.0,0.0,0.0
normal,1,32,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,270.65,0.0,3.6903589417451816,47.89257771304443,0.6953454692377088,4.983493,3.4855138080384664,3.8947756345964564,0.0,0.0,0.0,0.0,0.0
mrv,1,32,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,232.76666666666668,0.0,4.292580805885722,53.01919778092963,0.9719284941599453,6.285792,4.295413477031294,4.2897618934285715,17.21014492753623,6.969230769230769,0.0,0.0,0.0
normal,1,128,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,268.26666666666665,0.0,3.7201839501739564,58.805345562003694,0.6989014307622342,4.939441,3.5385855173831775,3.9007473776483708,0.0,0.0,0.0,0.0,0.0
mrv,1,128,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,25,221.0,0.0,4.517830764479638,54.256612500228954,1.068385961586043,6.610532,4.503880772884413,4.5318778802784925,22.167924528301885,9.507692307692308,0.0,0.0,0.0
