type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uniform,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,157.5,0.0,6.311839473756614,33.97139973566,0.9026658963652319,7.928037,6.436530602583105,6.187253858895705,0.0,0.0,0.0,0.0,0.0
normal,1,2,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,158.63333333333333,0.0,6.27549671916369,36.106278309088204,0.879133539765361,7.868451,6.370134813045285,6.178645574617347,0.0,0.0,0.0,0.0,0.0
normal,1,8,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,151.6,0.0,6.575514439973615,40.49081377300289,1.3625360139033407,9.318468,6.6663605260382335,6.484548425082509,0.0,0.0,0.0,0.0,0.0
normal,1,32,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,158.58333333333334,0.0,6.291771183184446,36.64382167114486,0.9325433049671283,7.93648,6.413574623477531,6.169737103092783,0.0,0.0,0.0,0.0,0.0
normal,1,128,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,165.6,0.0,6.022903264593397,37.24572458685695,0.8138451821553666,7.523444,6.117222758164696,5.927706380384227,0.0,0.0,0.0,0.0,0.0
normal,1,512,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,163.75,0.0,6.074598212519084,38.3419743883906,0.8192107864659488,7.6151,6.172710447993448,5.977617812183769,0.0,0.0,0.0,0.0,0.0
normal,1,2048,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,161.93333333333334,0.0,6.086538465417868,38.890667260925206,0.8421349945324975,7.675543,6.176581166015223,5.996384486508754,0.0,0.0,0.0,0.0,0.0
normal,2,1,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,147.25,0.4979828399340872,6.83721466598755,35.47905015639511,1.5418228968661887,9.840757,6.956542977926421,6.714183061609195,0.0,0.0,0.0,0.0,0.0
normal,2,2,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,210.1,0.2332116788321168,8.137124199666825,50.17790350343466,2.5367357749539114,13.108821,8.243529908788071,8.030684721675659,0.0,0.0,0.0,0.0,0.0
normal,2,8,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,246.43333333333334,0.04544867656552609,7.945924639591505,58.35436573213696,2.2376501293205493,12.074979,8.130055414973262,7.757408598001643,0.0,0.0,0.0,0.0,0.0
normal,2,32,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,247.53333333333333,0.009536512170723599,8.042920397387556,55.749666665670155,2.3760328326361457,12.402731,8.23468684709643,7.846871581427016,0.0,0.0,0.0,0.0,0.0
normal,2,128,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,251.85,0.002244965335094107,7.923505350473166,51.08509567378728,1.9169308253263384,11.343723,8.08178999277699,7.756723503261756,0.0,0.0,0.0,0.0,0.0
normal,2,512,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,246.41666666666666,4.0565208572784783E-4,8.087117112681772,54.17190231106897,2.145243019166798,11.917321,8.286902019501625,7.887791109174436,0.0,0.0,0.0,0.0,0.0
