type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uniform,100,uniform,1,8192,3,2,false,0,balance,null,0,0,0,0,null,0,0,1045.9833333333333,0.0,0.9523695727146704,246.10225855661434,0.13095172989353301,1.151464,0.9522169019233219,0.9525224820921703,0.0,0.0,0.0,0.0,0.0
mrv,1,1,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,960.85,0.0,1.039002977034223,218.13241620630345,0.24495109328128725,1.311048,1.033661082029086,1.0443651100066038,0.38449612403100775,0.0,0.03468263440444699,0.03468263440444699,0.0
normal,1,2,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,1062.7166666666667,0.0,0.9392785899973339,207.30458830747892,0.11495210024978593,1.115074,0.939477146628023,0.9390774444514601,0.0,0.0,0.0,0.0,0.0
mrv,1,2,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,921.9,0.0,1.0825893742090609,205.14608940947429,0.17503907545467187,1.454882,1.077801737329347,1.0874131533771276,0.5822981366459627,0.0,0.021904518921643492,0.03377533130974971,0.0
normal,1,8,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,998.7666666666667,0.0,0.9989938877782598,266.96678445080016,0.12632472133151237,1.198631,0.9989774948872532,0.9990103464535331,0.0,0.0,0.0,0.0,0.0
mrv,1,8,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,935.6666666666666,0.0,1.0668265682044886,199.18484380092775,0.184190339790593,1.481338,1.0620828767963484,1.0715611426486813,1.5463108320251178,0.0,0.012470654761452848,0.027965704734163276,0.0
normal,1,32,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,1036.1166666666666,0.0,0.9624149099200541,252.93990392976755,0.11609232349916425,1.144989,0.9621606385841508,0.9626676886607859,0.0,0.0,0.0,0.0,0.0
mrv,1,32,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,923.3,0.0,1.0799315523123578,203.14900442778446,0.2538840308236921,1.471674,1.0763716406921715,1.0834868401702926,5.603588907014682,0.0,0.005914265765169614,0.017932089702612855,0.0
normal,1,128,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,1017.35,0.0,0.9768751087629626,242.1946964737254,0.10841062056595015,1.149126,0.9769133516016345,0.9768373056976253,0.0,0.0,0.0,0.0,0.0
mrv,1,128,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,900.0166666666667,0.0,1.1046598911131276,186.72831333249923,0.1790836503087799,1.485978,1.0983671779885311,1.1110481796469753,15.457142857142857,0.0,0.0030409384744760548,0.007955053048372898,0.0
normal,1,512,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,973.55,0.0,1.0048094358447606,219.27262255010314,0.13052433761950014,1.208125,1.0051558755264869,1.0044630791852105,0.0,0.0,0.0,0.0,0.0
mrv,1,512,uniform,100,uniform,1,8192,3,2,false,2,balance,minmax,100,1,10,100,linear,1000,25,923.8666666666667,0.0,1.0593056924880935,210.54656650410303,0.1921884930457163,1.465963,1.0553254635581217,1.0632348397920774,14.197879858657243,0.0,0.00151219659125487,0.005801807553531373,0.0
