type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uniform,100,uniform,3,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,965.3,0.0,1.0303843152905834,205.94739619621325,0.1362640214405191,1.144211,1.0291103872739915,1.031640854482475,0.0,0.0,0.0,0.0,0.0
mrv,1,1,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,846.4833333333333,0.0,1.1787347786134792,221.51275433557615,0.2594632362291903,1.619711,1.1736691190513646,1.1838130209360092,0.4813664596273292,2.230769230769231,0.0,0.0,0.0
normal,1,2,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,836.7833333333333,0.0,1.1922391043878344,189.53754685198047,0.138201667098456,1.326917,1.1921831420640625,1.1922947754380389,0.0,0.0,0.0,0.0,0.0
mrv,1,2,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,733.0166666666667,0.0,1.3616440687569633,179.9481045561007,0.21075361521140215,1.635985,1.3545794842499885,1.368633559299801,0.7076205287713841,2.169230769230769,0.0,0.0,0.0
normal,1,8,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,711.9666666666667,0.0,1.4013181872980947,198.94109848562383,0.2573468039225615,1.978008,1.401553179505234,1.4010844240952602,0.0,0.0,0.0,0.0,0.0
mrv,1,8,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,682.0166666666667,0.0,1.4630343850101415,110.36062854720126,0.17647237920597109,1.669674,1.455654328545517,1.4703702086053991,2.0757097791798107,2.230769230769231,0.0,0.0,0.0
normal,1,32,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,743.2833333333333,0.0,1.340894483283629,161.40447019831885,0.14210790482844995,1.478316,1.3413409880758809,1.340454281293138,0.0,0.0,0.0,0.0,0.0
mrv,1,32,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,627.55,0.0,1.58898706674103,153.57440867540402,0.2072871326800441,1.935005,1.5804051335228768,1.5977221502143621,8.352842809364548,85.8,0.0,0.0,0.0
normal,1,128,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,713.6666666666666,0.0,1.3927356362914525,172.30950254314672,0.1927587328316321,1.808735,1.3934795324571698,1.3919990010225425,0.0,0.0,0.0,0.0,0.0
mrv,1,128,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,614.8666666666667,0.0,1.617738585194622,127.99796092125845,0.21210919747699972,1.945078,1.60978228052089,1.625681099285018,33.082135523613964,18.546875,0.0,0.0,0.0
normal,1,512,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,727.0666666666667,0.0,1.351269087383092,151.89158194800217,0.13582361829329118,1.493888,1.3517424256009505,1.3507927012694325,0.0,0.0,0.0,0.0,0.0
mrv,1,512,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,613.5333333333333,0.0,1.6059358009344777,96.36051058395239,0.2899380748530027,2.242822,1.6007351430201597,1.6111347638111793,79.18836565096953,37.12698412698413,0.0,0.0,0.0
normal,1,2048,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,688.2166666666667,0.0,1.3743545552272782,143.46389208903167,0.24060788506111136,1.515649,1.376503925338603,1.372184157986956,0.0,0.0,0.0,0.0,0.0
mrv,1,2048,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,608.2,0.0,1.5628726709689795,131.98576438389102,0.39568326285892813,1.894156,1.5608158214109251,1.564922543196367,143.8684210526316,56.54838709677419,0.0,0.0,0.0
normal,2,1,uniform,100,uniform,3,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,860.65,0.49995158229073866,1.1590392822479134,247.6887139132504,0.2607748566160365,1.589023,1.1591459371656188,1.1589343685848188,0.0,0.0,0.0,0.0,0.0
mrv,2,1,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1268.9833333333333,0.04694012942958359,1.5228654190099686,237.52676550934916,0.27037972779788555,1.761702,1.5226063325184016,1.5231241042809522,1.6373626373626373,3.4615384615384617,0.07577260691479523,0.07577260691479523,0.03335919317300233
normal,2,2,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,827.6166666666667,0.49998993072337683,1.2055107771109814,186.7553131774301,0.15472002750343572,1.34466,1.2068795027335584,1.2041368043662484,0.0,0.0,0.0,0.0,0.0
mrv,2,2,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1148.6333333333334,0.09276640558151783,1.6260183244435416,236.46560426412964,0.3765864004894464,2.283813,1.6231905755424862,1.628855608499753,3.089171974522293,5.2615384615384615,0.0728990921375319,0.07295483569312794,0.041181041181041184
normal,2,8,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,805.85,0.45163485420707017,1.4220713641496556,172.94816275404605,0.26655298352972207,1.955634,1.4214679440672353,1.4226737119064348,0.0,0.0,0.0,0.0,0.0
mrv,2,8,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1102.7833333333333,0.10387745981012231,1.6798414300330982,199.21311620138533,0.30918500690247946,2.238652,1.6716495563082134,1.6880256313785915,5.3723577235772355,6.323076923076923,0.06597435534777021,0.07047558414153093,0.020120528771384136
