type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uneven,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,960.55,0.0,1.0364544926170771,197.47856339359979,0.1553773349516295,1.160029,1.0462178715753423,1.0363545467229924,0.0,0.0,0.0,0.0,0.0
mrv,1,1,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,871.0666666666667,0.0,1.1453240813753254,185.17048360902444,0.2296070125347288,1.43789,1.1950578768656717,1.1448087451090319,0.38509316770186336,2.230769230769231,0.0,0.0,0.0
normal,1,2,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,958.2833333333333,0.0,1.0406738193644887,204.83449986106675,0.17405590961504083,1.168451,1.041803783216783,1.04066246513834,0.0,0.0,0.0,0.0,0.0
mrv,1,2,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,850.3666666666667,0.0,1.173213353494571,187.7579079559633,0.23327543507038356,1.564427,1.2319524612326045,1.1726285087590806,0.7305295950155763,2.4307692307692306,0.0,0.0,0.0
normal,1,8,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,967.3666666666667,0.0,1.0305989464525689,209.02164959639944,0.16881286194421324,1.144736,1.0286884331723027,1.0306196083836923,0.0,0.0,0.0,0.0,0.0
mrv,1,8,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,820.5333333333333,0.0,1.2155934658961651,232.16243307937083,0.29722188727739185,1.693166,1.2606693024691358,1.2151440576047265,2.3496835443037973,2.292307692307692,0.0,0.0,0.0
normal,1,32,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,923.75,0.0,1.07822717842129,146.7197430477575,0.19868298368711512,1.36654,1.0844869094339622,1.0781667419983605,0.0,0.0,0.0,0.0,0.0
mrv,1,32,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,852.2833333333333,0.0,1.1689733767917554,190.31781927432155,0.2535832684567835,1.553307,1.2025649782178216,1.1686383365263073,7.396351575456053,18.25,0.0,0.0,0.0
normal,1,128,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,884.3166666666667,0.0,1.1225600685840291,245.3617010320342,0.23129110782481838,1.578105,1.1189569705340698,1.1225973235585345,0.0,0.0,0.0,0.0,0.0
mrv,1,128,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,796.6666666666666,0.0,1.2469677446025105,203.1359725241527,0.29629677586621345,1.718748,1.2871973572938689,1.2465656779850824,28.91235059760956,3.1076923076923078,0.0,0.0,0.0
normal,1,512,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,913.65,0.0,1.0701813418887611,199.18412336328413,0.14346801372852838,1.216836,1.0828456274509803,1.0700503996461352,0.0,0.0,0.0,0.0,0.0
mrv,1,512,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,740.2666666666667,0.0,1.3268404561194165,161.9056021266713,0.21252564454506281,1.63287,1.4472005908045975,1.325650018007776,111.46579804560261,19.453125,0.0,0.0,0.0
normal,1,2048,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,852.4,0.0,1.0925890348623495,191.28730224455575,0.19933050853542014,1.415432,1.0885676335174954,1.0926321885733483,0.0,0.0,0.0,0.0,0.0
mrv,1,2048,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,777.4666666666667,0.0,1.2045784553249872,156.74352086556345,0.24642498567983903,1.569868,1.2573220781990522,1.2040969555444987,75.6260162601626,22.640625,0.0,0.0,0.0
normal,2,1,uneven,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,928.85,0.49998654213657034,1.073645225260627,189.91448338660214,0.19505499862687167,1.20785,1.0818589644670051,1.0735571889916575,0.0,0.0,0.0,0.0,0.0
