type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uniform,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,956.5833333333334,0.0,1.0396904791706594,203.26022483506208,0.20659112339365757,1.159033,1.0401048540797888,1.0392738310562912,0.0,0.0,0.0,0.0,0.0
mrv,1,1,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,894.9166666666666,0.0,1.1146070323680044,188.57521311137364,0.2105582586547735,1.369914,1.111315058507863,1.1178956972190164,0.3767441860465116,2.1538461538461537,0.0,0.0,0.0
normal,1,2,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,921.7166666666667,0.0,1.0826873494385476,235.30571391277348,0.2351897680123367,1.493879,1.0834932984120063,1.081889087496401,0.0,0.0,0.0,0.0,0.0
mrv,1,2,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,895.1666666666666,0.0,1.1149277087134613,195.3467481172902,0.2398273726164868,1.497692,1.1096899733085501,1.1201830269675495,0.7045101088646968,2.3076923076923075,0.0,0.0,0.0
normal,1,8,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,971.0666666666667,0.0,1.0272960964231772,217.0522026303042,0.173202988595356,1.135611,1.026814487212013,1.0277788974085784,0.0,0.0,0.0,0.0,0.0
mrv,1,8,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,877.1333333333333,0.0,1.1374850349813788,221.48690254730644,0.2540838913993356,1.566705,1.1329367170735412,1.1420420034995626,2.031545741324921,2.353846153846154,0.0,0.0,0.0
normal,1,32,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,898.3,0.0,1.1093274851942558,126.82491080225527,0.26690836839445287,1.623023,1.1086274183127878,1.110026669398502,0.0,0.0,0.0,0.0,0.0
mrv,1,32,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,868.2166666666667,0.0,1.1479853282782715,191.14154005169397,0.24469073974842206,1.537742,1.1444759250038243,1.1515221899788013,7.501661129568106,18.25,0.0,0.0,0.0
normal,1,128,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,941.2,0.0,1.054781780599235,214.29547358728783,0.17990809459323354,1.180928,1.0548834174210135,1.0546790217584845,0.0,0.0,0.0,0.0,0.0
mrv,1,128,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,800.95,0.0,1.2408693440913914,232.39660711809026,0.32684452621009014,1.735796,1.2383674408256882,1.2433611678365244,26.521484375,3.0923076923076924,0.0,0.0,0.0
normal,1,512,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,891.2166666666667,0.0,1.0985199280945523,208.10812013630473,0.20952693644815318,1.232556,1.0965685024071654,1.1004799120248894,0.0,0.0,0.0,0.0,0.0
mrv,1,512,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,822.2333333333333,0.0,1.192809727287469,170.2805802198243,0.271802408139236,1.604768,1.1875508761885412,1.198044330326808,57.38929440389295,19.546875,0.0,0.0,0.0
normal,1,2048,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,815.4666666666667,0.0,1.1467277503270112,211.93557826220058,0.2304226843132326,1.562026,1.147504134389288,1.1459493325147347,0.0,0.0,0.0,0.0,0.0
mrv,1,2048,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,787.7666666666667,0.0,1.1890645546058478,167.02613567941995,0.33340675069470443,1.559465,1.1850897090770662,1.1930424287165593,70.78100263852242,7.153846153846154,0.0,0.0,0.0
normal,2,1,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,1000,linear,1000,100,943.6833333333333,0.49995584287127315,1.05705524966002,218.9579206148981,0.21675972321572823,1.173385,1.0572672082027812,1.0568418713495888,0.0,0.0,0.0,0.0,0.0
mrv,2,1,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1284.2666666666667,0.04554519217668118,1.5056689988449958,173.48851643072325,0.3218919046042481,2.076957,1.5057753883187404,1.5055628245391137,1.7048665620094192,3.723076923076923,0.07742535694969427,0.07742535694969427,0.03804347826086957
normal,2,2,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1112.5166666666667,0.3319889917438078,1.2978288101751285,252.2819646083855,0.3750537536168862,1.67884,1.2968889191235653,1.2987782965729084,0.0,0.0,0.0,0.0,0.0
