type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,1,1,uniform,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,65.15,0.0,15.226479234075212,13.223274934750467,2.8766336399856987,19.833117,12.941604039205703,17.533674546529564,0.0,0.0,0.0,0.0,0.0
mrv,1,1,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,57.666666666666664,0.0,17.066867869075143,11.853382077140123,4.561986412876917,25.511283,14.565052166762177,19.612447111370262,13.719165085388994,35.25396825396825,1.4248500803049734E-5,1.4248500803049734E-5,0.0
normal,1,2,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,70.76666666666667,0.0,14.046181438530382,16.017199089312296,3.498644093172876,18.199899,11.898167696597353,16.18007678028169,0.0,0.0,0.0,0.0,0.0
mrv,1,2,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,59.916666666666664,0.0,16.503131984979138,16.007925120597818,3.493553361122957,22.466532,14.041858221315932,19.08074158143508,25.006211180124225,35.41269841269841,1.4262555698677688E-5,1.8789167033197084E-5,0.0
normal,1,8,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,66.96666666666667,0.0,14.894412292682928,15.717951520474923,2.9675583584847365,19.847616,12.767645191317516,16.962711569955818,0.0,0.0,0.0,0.0,0.0
mrv,1,8,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,71.7,0.0,13.745109375871687,19.801969599007066,2.824202352589717,18.371478,11.674729520665082,15.728791485662267,39.28506787330317,37.111111111111114,3.258111812196995E-4,0.0025507604862295844,1.1180679785330948E-4
normal,1,32,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,74.51666666666667,0.0,13.342520444195928,17.56865580136018,2.9632587834142816,18.274703,11.353172381531532,15.30447188760551,0.0,0.0,0.0,0.0,0.0
mrv,1,32,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,88.98333333333333,0.0,11.064498776175313,20.070085533782194,1.9622396817444243,14.170775,9.443536734756098,12.631130229834255,51.57920792079208,43.476190476190474,8.649339041659253E-6,5.191338846985547E-5,0.0
normal,1,128,uniform,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,72.21666666666667,0.0,13.789775195476576,18.174936955415646,3.4449670634169878,19.571604,11.70422725568699,15.9368638941452,0.0,0.0,0.0,0.0,0.0
mrv,1,128,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,68.61666666666666,0.0,14.350468169783824,16.62212381135456,3.9455675503318646,19.769665,12.147658285786038,16.413400662276576,50.982926829268294,75.59016393442623,1.4609551855149463E-5,1.5541920727174497E-4,0.0
normal,1,512,uniform,100,uniform,1,8192,3,4,false,0,all,null,0,0,0,0,null,0,0,62.483333333333334,0.0,15.852911940250733,11.800466092489739,4.487891999258821,22.604568,13.541904254870985,18.22513009945946,0.0,0.0,0.0,0.0,0.0
mrv,1,512,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,66.33333333333333,0.0,14.824433737437186,15.265625874274967,3.618010775643726,20.604909,12.528331385128206,17.030049297536948,68.50824175824175,40.44444444444444,0.0,0.0,0.0
normal,1,2048,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,67.5,0.0,14.65357914888889,13.743070981407325,3.7970081534211024,21.254697,12.398455412366115,16.974232533066132,0.0,0.0,0.0,0.0,0.0
