type,clients,size,tx/s,ar,rt
mrv,64,2,1857.0,0.18916210591227936,0
mrv,512,512,2515.86,0.0031381984125946364,0
mrv,8,2048,1028.82,0.00021039684081051337,0
mrv,2,32,432.46,0.0018841805737137584,0
mrv,512,1,2160.09,0.3466377918809717,0
mrv,2,8,471.1,0.0077902937151279085,0
mrv,8,128,1155.53,0.0025452244686664173,0
mrv,128,512,2533.46,0.0032677602771060714,0
mrv,1,2048,224.53,7.419498441905327e-05,0
mrv,8,2,1304.42,0.0564928178926058,0
mrv,32,32,2258.56,0.028755137403159055,0
mrv,32,512,2380.52,0.002419602264803503,0
mrv,1,2,269.87,0.0002468831008517467,0
mrv,64,512,2453.64,0.0031724389305505868,0
mrv,128,2,2073.42,0.197159065299,0
mrv,8,8,1252.48,0.02641631595985756,0
mrv,64,1,1686.78,0.2434224691039056,0
mrv,32,128,2503.99,0.008341611351959424,0
mrv,512,128,2589.37,0.010511372598504685,0
mrv,128,32,2414.85,0.03507827658613082,0
mrv,2,2048,417.79,3.987876854362737e-05,0
mrv,32,2048,2181.08,0.0008531903223840576,0
mrv,1,8,224.54,0.001629750351877917,0
mrv,512,8,2182.34,0.08310309481301464,0
mrv,32,2,1501.07,0.1227789231433092,0
mrv,512,2048,2325.17,0.0009838548707894197,0
mrv,128,1,1259.62,0.21251597978937115,0
mrv,2,1,542.46,0.01512493193780628,0
mrv,2,512,427.15,0.00011699555416894158,0
mrv,128,2048,2269.01,0.0010970846803095241,0
mrv,128,128,2615.92,0.011371614844533601,0
mrv,8,32,1051.56,0.009416048084618885,0
mrv,2,2,524.51,0.01096449890040842,0
mrv,32,1,1907.69,0.17686201915660454,0
mrv,64,32,2365.06,0.03772486700867658,0
mrv,8,1,1388.34,0.05794529837251356,0
mrv,1,1,273.1,0.0032230600827049378,0
mrv,1,128,226.65,0.00014700477765527378,0
mrv,32,8,2122.2,0.07199800342270393,0
mrv,2,128,458.46,0.000472212132219397,0
mrv,8,512,1108.37,0.000810932572458327,0
mrv,64,2048,2258.78,0.0011243882005379426,0
mrv,1,512,238.09,0.0,0
mrv,64,128,2620.64,0.011241308831919549,0
mrv,512,2,1649.35,0.1735042043984476,0
mrv,128,8,2066.88,0.08446312364425163,0
mrv,512,32,2365.99,0.034230471250042104,0
mrv,1,32,180.65,0.0006451612903225806,0
mrv,64,8,2057.61,0.09053168139548316,0
normal,128,128,2267.5,0.44906553187366005,0
normal,128,1,605.61,0.9130075159211306,0
normal,128,2048,2945.31,0.06741915001915316,0
normal,128,2,521.76,0.9129220974032468,0
normal,128,32,1339.4,0.7251771055886652,0
normal,128,512,2844.44,0.19597380775189444,0
normal,128,8,774.24,0.8632994179640789,0
normal,1,128,376.26,0.0,0
normal,1,1,380.59,0.0,0
normal,1,2048,383.78,0.0,0
normal,1,2,365.4,0.0,0
normal,1,32,369.31,0.0,0
normal,1,512,388.36,0.0,0
normal,1,8,363.95,0.0,0
normal,2,128,704.99,0.027265621407880823,0
normal,2,1,463.37,0.4429532889992789,0
normal,2,2048,705.71,0.001791143267893757,0
normal,2,2,452.58,0.4370972086951116,0
normal,2,32,685.97,0.09581009266985814,0
normal,2,512,721.99,0.0070122370411109585,0
normal,2,8,586.34,0.264576802507837,0
normal,32,128,2476.33,0.37152886049706296,0
normal,32,1,637.69,0.9048432113769612,0
normal,32,2048,2930.52,0.04531132621020261,0
normal,32,2,536.5,0.9037467352781214,0
normal,32,32,1541.59,0.6616962605232057,0
normal,32,512,2889.24,0.14213915811361474,0
normal,32,8,839.93,0.8429837753014693,0
normal,512,128,2264.93,0.4502860354483229,0
normal,512,1,600.38,0.9122517882411765,0
normal,512,2048,2942.22,0.06797878572325201,0
normal,512,2,514.22,0.913634170355309,0
normal,512,32,1386.42,0.7217672621600684,0
normal,512,512,2806.92,0.19809007309596793,0
normal,512,8,701.98,0.8642775983352271,0
normal,64,128,2265.0,0.4509676952282892,0
normal,64,1,605.37,0.9129442639280319,0
normal,64,2048,2913.97,0.06836990578991735,0
normal,64,2,518.34,0.9133370270037001,0
normal,64,32,1211.72,0.7300087256163391,0
normal,64,512,2843.43,0.19874582643584635,0
normal,64,8,731.99,0.8651706310694427,0
normal,8,128,1714.7,0.1463438849635133,0
normal,8,1,577.98,0.813302838692318,0
normal,8,2048,1868.69,0.011938381412371225,0
normal,8,2,565.46,0.8076160029021981,0
normal,8,32,1456.1,0.37261473321611827,0
normal,8,512,1967.66,0.04136543251949401,0
normal,8,8,925.35,0.6608298532249005,0
