type,clients,size,tx/s,ar,rt
mrv,128,128,2165.68,0.285642231761539,0
mrv,128,1,1716.04,0.280604737763335,0
mrv,128,2048,2520.95,0.07292746904166413,0
mrv,128,2,1284.99,0.19075483340189223,0
mrv,128,32,2222.91,0.2873299668865344,0
mrv,128,512,2345.78,0.21447150495203585,0
mrv,128,8,1880.9,0.2310535552837313,0
mrv,1,128,286.91,0.0,0
mrv,1,1,328.03,0.0,0
mrv,1,2048,298.69,0.0,0
mrv,1,2,335.46,0.0,0
mrv,1,32,306.1,0.0,0
mrv,1,512,314.15,0.0,0
mrv,1,8,319.53,0.0,0
mrv,2,128,525.74,0.03285420944558522,0
mrv,2,1,585.72,0.10275913116720692,0
mrv,2,2048,576.1,0.0024234031504240957,0
mrv,2,2,579.48,0.10462362269591186,0
mrv,2,32,520.39,0.09639530174159579,0
mrv,2,512,589.03,0.007468134089505306,0
mrv,2,8,528.86,0.11555394560855996,0
mrv,32,128,2004.17,0.3095738527355092,0
mrv,32,1,1924.09,0.24687817722046979,0
mrv,32,2048,2436.02,0.05085656223100969,0
mrv,32,2,1326.41,0.19543516378417153,0
mrv,32,32,2204.13,0.27474902969064735,0
mrv,32,512,2360.27,0.15545126310843044,0
mrv,32,8,1224.83,0.20385164977916342,0
mrv,512,128,2543.41,0.12029128935009067,0
mrv,512,1,1714.14,0.3393129697867639,0
mrv,512,2048,2520.97,0.07355366368687206,0
mrv,512,2,1593.18,0.2098762494050452,0
mrv,512,32,2419.39,0.12481778861089206,0
mrv,512,512,2562.82,0.10579416042448736,0
mrv,512,8,1893.36,0.09488691847974688,0
mrv,64,128,1989.58,0.35256160830090794,0
mrv,64,1,1740.76,0.27538009507574185,0
mrv,64,2048,2530.69,0.07202987761854943,0
mrv,64,2,1734.65,0.22644871052514365,0
mrv,64,32,2137.23,0.3296268159680306,0
mrv,64,512,2414.0,0.2070563603748998,0
mrv,64,8,1504.82,0.2127873078486838,0
mrv,8,128,1336.32,0.14327451084928294,0
mrv,8,1,1338.72,0.13318880907698613,0
mrv,8,2048,1475.73,0.013011855245890701,0
mrv,8,2,1186.29,0.15603038598736682,0
mrv,8,32,1183.9,0.17303687156038022,0
mrv,8,512,1492.28,0.046311868014901544,0
mrv,8,8,1275.26,0.15088353725498896,0
normal,128,128,2267.5,0.44906553187366005,0
normal,128,1,605.61,0.9130075159211306,0
normal,128,2048,2945.31,0.06741915001915316,0
normal,128,2,521.76,0.9129220974032468,0
normal,128,32,1339.4,0.7251771055886652,0
normal,128,512,2844.44,0.19597380775189444,0
normal,128,8,774.24,0.8632994179640789,0
normal,1,128,376.26,0.0,0
normal,1,1,380.59,0.0,0
normal,1,2048,383.78,0.0,0
normal,1,2,365.4,0.0,0
normal,1,32,369.31,0.0,0
normal,1,512,388.36,0.0,0
normal,1,8,363.95,0.0,0
normal,2,128,704.99,0.027265621407880823,0
normal,2,1,463.37,0.4429532889992789,0
normal,2,2048,705.71,0.001791143267893757,0
normal,2,2,452.58,0.4370972086951116,0
normal,2,32,685.97,0.09581009266985814,0
normal,2,512,721.99,0.0070122370411109585,0
normal,2,8,586.34,0.264576802507837,0
normal,32,128,2476.33,0.37152886049706296,0
normal,32,1,637.69,0.9048432113769612,0
normal,32,2048,2930.52,0.04531132621020261,0
normal,32,2,536.5,0.9037467352781214,0
normal,32,32,1541.59,0.6616962605232057,0
normal,32,512,2889.24,0.14213915811361474,0
normal,32,8,839.93,0.8429837753014693,0
normal,512,128,2264.93,0.4502860354483229,0
normal,512,1,600.38,0.9122517882411765,0
normal,512,2048,2942.22,0.06797878572325201,0
normal,512,2,514.22,0.913634170355309,0
normal,512,32,1386.42,0.7217672621600684,0
normal,512,512,2806.92,0.19809007309596793,0
normal,512,8,701.98,0.8642775983352271,0
normal,64,128,2265.0,0.4509676952282892,0
normal,64,1,605.37,0.9129442639280319,0
normal,64,2048,2913.97,0.06836990578991735,0
normal,64,2,518.34,0.9133370270037001,0
normal,64,32,1211.72,0.7300087256163391,0
normal,64,512,2843.43,0.19874582643584635,0
normal,64,8,731.99,0.8651706310694427,0
normal,8,128,1714.7,0.1463438849635133,0
normal,8,1,577.98,0.813302838692318,0
normal,8,2048,1868.69,0.011938381412371225,0
normal,8,2,565.46,0.8076160029021981,0
normal,8,32,1456.1,0.37261473321611827,0
normal,8,512,1967.66,0.04136543251949401,0
normal,8,8,925.35,0.6608298532249005,0
