type,clients,size,tx/s,ar,rt
mrv,128,128,2398.0,0.2791494925099053,0
mrv,128,1,2013.94,0.3038179173637341,0
mrv,128,2048,2577.26,0.07298639216551132,0
mrv,128,2,2273.99,0.19507941902379505,0
mrv,128,32,2452.75,0.2569023096286342,0
mrv,128,512,2423.79,0.21138307856611183,0
mrv,128,8,2028.9,0.18312158514910143,0
mrv,1,128,337.61,0.0,0
mrv,1,1,331.41,0.0,0
mrv,1,2048,342.77,0.0,0
mrv,1,2,352.68,0.0,0
mrv,1,32,335.34,0.0,0
mrv,1,512,318.59,0.0,0
mrv,1,8,352.83,0.0,0
mrv,2,128,566.58,0.031196581196581197,0
mrv,2,1,587.55,0.10879729080846116,0
mrv,2,2048,551.57,0.0016886798142452205,0
mrv,2,2,593.14,0.10846209711752773,0
mrv,2,32,567.51,0.09296442266723477,0
mrv,2,512,581.99,0.008290037759418561,0
mrv,2,8,552.72,0.11482015156366741,0
mrv,32,128,1899.98,0.3209787714812392,0
mrv,32,1,2236.43,0.33030816794654433,0
mrv,32,2048,2545.24,0.04961453607991869,0
mrv,32,2,1344.36,0.16656406468029222,0
mrv,32,32,2015.14,0.2883353327217557,0
mrv,32,512,2530.81,0.14779248090023378,0
mrv,32,8,1963.47,0.1801972947954517,0
mrv,512,128,2615.41,0.12003182746398544,0
mrv,512,1,2142.52,0.2975266823616405,0
mrv,512,2048,2576.29,0.07252221706699026,0
mrv,512,2,1649.66,0.15653232262175099,0
mrv,512,32,2649.3,0.11745071622996343,0
mrv,512,512,2619.69,0.1033201133144476,0
mrv,512,8,2111.73,0.08091919435652137,0
mrv,64,128,2278.38,0.34168728779421076,0
mrv,64,1,2243.38,0.24145769215621185,0
mrv,64,2048,2543.94,0.07291578348130473,0
mrv,64,2,1716.64,0.1923671757780941,0
mrv,64,32,2392.57,0.28828579614499256,0
mrv,64,512,2470.11,0.20470894260206812,0
mrv,64,8,2038.38,0.18724577596996245,0
mrv,8,128,1472.77,0.13565478922339294,0
mrv,8,1,1555.66,0.13261079534901,0
mrv,8,2048,1547.63,0.01277110736010701,0
mrv,8,2,1314.81,0.14810657975675295,0
mrv,8,32,1296.62,0.16461333733982958,0
mrv,8,512,1573.55,0.046093884103920756,0
mrv,8,8,1361.26,0.14744793622970662,0
normal,128,128,2267.5,0.44906553187366005,0
normal,128,1,605.61,0.9130075159211306,0
normal,128,2048,2945.31,0.06741915001915316,0
normal,128,2,521.76,0.9129220974032468,0
normal,128,32,1339.4,0.7251771055886652,0
normal,128,512,2844.44,0.19597380775189444,0
normal,128,8,774.24,0.8632994179640789,0
normal,1,128,376.26,0.0,0
normal,1,1,380.59,0.0,0
normal,1,2048,383.78,0.0,0
normal,1,2,365.4,0.0,0
normal,1,32,369.31,0.0,0
normal,1,512,388.36,0.0,0
normal,1,8,363.95,0.0,0
normal,2,128,704.99,0.027265621407880823,0
normal,2,1,463.37,0.4429532889992789,0
normal,2,2048,705.71,0.001791143267893757,0
normal,2,2,452.58,0.4370972086951116,0
normal,2,32,685.97,0.09581009266985814,0
normal,2,512,721.99,0.0070122370411109585,0
normal,2,8,586.34,0.264576802507837,0
normal,32,128,2476.33,0.37152886049706296,0
normal,32,1,637.69,0.9048432113769612,0
normal,32,2048,2930.52,0.04531132621020261,0
normal,32,2,536.5,0.9037467352781214,0
normal,32,32,1541.59,0.6616962605232057,0
normal,32,512,2889.24,0.14213915811361474,0
normal,32,8,839.93,0.8429837753014693,0
normal,512,128,2264.93,0.4502860354483229,0
normal,512,1,600.38,0.9122517882411765,0
normal,512,2048,2942.22,0.06797878572325201,0
normal,512,2,514.22,0.913634170355309,0
normal,512,32,1386.42,0.7217672621600684,0
normal,512,512,2806.92,0.19809007309596793,0
normal,512,8,701.98,0.8642775983352271,0
normal,64,128,2265.0,0.4509676952282892,0
normal,64,1,605.37,0.9129442639280319,0
normal,64,2048,2913.97,0.06836990578991735,0
normal,64,2,518.34,0.9133370270037001,0
normal,64,32,1211.72,0.7300087256163391,0
normal,64,512,2843.43,0.19874582643584635,0
normal,64,8,731.99,0.8651706310694427,0
normal,8,128,1714.7,0.1463438849635133,0
normal,8,1,577.98,0.813302838692318,0
normal,8,2048,1868.69,0.011938381412371225,0
normal,8,2,565.46,0.8076160029021981,0
normal,8,32,1456.1,0.37261473321611827,0
normal,8,512,1967.66,0.04136543251949401,0
normal,8,8,925.35,0.6608298532249005,0
