type,clients,size,tx/s,ar,rt
mrv,1,16,121.52,0.0,8.22
mrv,128,16,1449.44,0.0,85.92
mrv,2,16,242.55,0.0,8.24
mrv,32,16,1292.21,0.0,23.94
mrv,512,16,1145.45,0.0,436.8
mrv,64,16,1516.77,0.0,40.9
mrv,8,16,665.39,0.0,11.88
mrv,1,1,159.02,0.0,6.28
mrv,128,1,987.35,0.0,127.2
mrv,2,1,304.82,0.0,6.56
mrv,32,1,1036.32,0.0,30.77
mrv,512,1,718.91,0.0,646.86
mrv,64,1,1032.15,0.0,61.51
mrv,8,1,803.81,0.0,9.95
mrv,1,2,154.73,0.0,6.46
mrv,128,2,1645.4,0.0,77.0
mrv,2,2,300.36,0.0,6.65
mrv,32,2,1638.77,0.0,19.48
mrv,512,2,1149.38,0.0,422.98
mrv,64,2,1689.03,0.0,37.64
mrv,8,2,877.26,0.0,9.11
mrv,1,32,106.24,0.0,9.41
mrv,128,32,838.81,0.0,147.1
mrv,2,32,201.16,0.0,9.94
mrv,32,32,798.08,0.0,39.36
mrv,512,32,740.84,0.0,668.09
mrv,64,32,909.9,0.0,69.94
mrv,8,32,504.23,0.0,15.83
mrv,1,4,141.15,0.0,7.08
mrv,128,4,2310.79,0.0,54.72
mrv,2,4,273.12,0.0,7.32
mrv,32,4,2070.44,0.0,15.44
mrv,512,4,1550.71,0.0,321.08
mrv,64,4,2552.31,0.0,25.0
mrv,8,4,852.04,0.0,9.38
mrv,1,64,95.76,0.0,10.44
mrv,128,64,632.09,0.0,198.09
mrv,2,64,187.68,0.0,10.65
mrv,32,64,620.17,0.0,50.48
mrv,512,64,604.67,0.0,823.11
mrv,64,64,746.26,0.0,85.27
mrv,8,64,399.55,0.0,19.51
mrv,1,8,141.96,0.01,7.04
mrv,128,8,2102.58,0.0,59.36
mrv,2,8,274.38,0.01,7.28
mrv,32,8,1872.98,0.0,17.07
mrv,512,8,1626.29,0.0,306.46
mrv,64,8,2421.35,0.0,26.37
mrv,8,8,854.16,0.0,9.36
normal,1,16,136.25,0.0,7.33
normal,128,16,1355.21,0.0,94.33
normal,2,16,255.69,0.0,7.82
normal,32,16,1369.52,0.0,23.34
normal,512,16,1168.35,0.0,432.26
normal,64,16,1474.02,0.0,43.39
normal,8,16,702.93,0.0,11.38
normal,1,1,175.78,0.0,5.68
normal,128,1,433.18,0.0,294.37
normal,2,1,328.06,0.0,6.09
normal,32,1,502.01,0.0,63.68
normal,512,1,277.41,0.0,1804.38
normal,64,1,473.93,0.0,134.81
normal,8,1,515.99,0.0,15.5
normal,1,2,173.07,0.0,5.77
normal,128,2,777.3,0.0,164.06
normal,2,2,322.64,0.0,6.2
normal,32,2,870.48,0.0,36.74
normal,512,2,550.39,0.0,916.03
normal,64,2,812.79,0.0,78.63
normal,8,2,764.38,0.0,10.46
normal,1,32,116.69,0.0,8.56
normal,128,32,850.75,0.0,150.13
normal,2,32,222.37,0.01,8.99
normal,32,32,868.49,0.0,36.83
normal,512,32,756.49,0.0,661.92
normal,64,32,905.35,0.0,70.62
normal,8,32,563.3,0.0,14.2
normal,1,4,160.97,0.0,6.21
normal,128,4,1294.34,0.0,98.52
normal,2,4,318.21,0.0,6.28
normal,32,4,1360.91,0.0,23.5
normal,512,4,974.46,0.0,519.44
normal,64,4,1371.09,0.0,46.61
normal,8,4,869.17,0.0,9.2
normal,1,64,118.93,0.0,8.4
normal,128,64,664.82,0.0,192.08
normal,2,64,193.73,0.0,10.32
normal,32,64,732.1,0.0,43.69
normal,512,64,573.8,0.0,887.97
normal,64,64,674.44,0.0,94.82
normal,8,64,469.31,0.0,17.04
normal,1,8,147.15,0.0,6.79
normal,128,8,1763.19,0.0,72.45
normal,2,8,288.34,0.0,6.93
normal,32,8,1767.98,0.0,18.09
normal,512,8,1308.33,0.0,387.29
normal,64,8,1772.61,0.0,35.88
normal,8,8,853.25,0.0,9.37
