type,clients,size,tx/s,ar,rt
mrv,1,16,138.32,0.0,7.23
mrv,128,16,1742.16,0.2,73.13
mrv,2,16,244.63,0.01,8.17
mrv,32,16,1360.08,0.07,23.1
mrv,512,16,1947.18,0.4,260.96
mrv,64,16,1641.35,0.12,38.84
mrv,8,16,727.61,0.03,10.99
mrv,1,1,191.1,0.0,5.23
mrv,128,1,3471.56,0.47,36.82
mrv,2,1,359.23,0.06,5.56
mrv,32,1,2586.78,0.37,12.36
mrv,512,1,2767.05,0.53,183.88
mrv,64,1,3408.63,0.43,18.76
mrv,8,1,1127.8,0.19,7.09
mrv,1,2,184.54,0.0,5.42
mrv,128,2,3315.64,0.43,38.54
mrv,2,2,347.11,0.04,5.76
mrv,32,2,2677.69,0.28,11.94
mrv,512,2,2719.08,0.51,187.1
mrv,64,2,3235.98,0.36,19.76
mrv,8,2,1098.35,0.12,7.28
mrv,1,32,113.27,0.0,8.82
mrv,128,32,998.87,0.14,126.98
mrv,2,32,202.92,0.01,9.84
mrv,32,32,848.58,0.04,37.55
mrv,512,32,1156.65,0.29,428.56
mrv,64,32,924.11,0.07,67.35
mrv,8,32,499.86,0.02,15.92
mrv,1,4,169.3,0.0,5.9
mrv,128,4,3215.98,0.37,39.72
mrv,2,4,323.06,0.03,6.19
mrv,32,4,2527.33,0.19,12.65
mrv,512,4,2707.18,0.5,187.96
mrv,64,4,3052.77,0.28,20.94
mrv,8,4,1040.0,0.07,7.69
mrv,1,64,96.29,0.0,10.38
mrv,128,64,778.34,0.09,160.34
mrv,2,64,170.43,0.01,11.73
mrv,32,64,679.65,0.02,46.7
mrv,512,64,818.67,0.18,622.14
mrv,64,64,674.82,0.05,93.68
mrv,8,64,395.75,0.01,19.93
mrv,1,8,153.45,0.0,6.51
mrv,128,8,2760.95,0.29,46.22
mrv,2,8,299.53,0.02,6.67
mrv,32,8,2206.46,0.12,14.49
mrv,512,8,2951.17,0.46,172.43
mrv,64,8,2562.26,0.19,24.92
mrv,8,8,928.55,0.05,8.6
normal,1,16,157.12,0.0,6.36
normal,128,16,1395.42,0.49,90.98
normal,2,16,301.08,0.01,6.64
normal,32,16,1380.17,0.23,23.17
normal,512,16,1141.26,0.7,445.25
normal,64,16,1426.02,0.36,44.84
normal,8,16,803.11,0.07,9.96
normal,1,1,210.07,0.0,4.76
normal,128,1,1236.64,0.8,103.29
normal,2,1,368.79,0.13,5.42
normal,32,1,1011.03,0.71,31.63
normal,512,1,1589.0,0.85,320.3
normal,64,1,1117.45,0.76,57.22
normal,8,1,769.37,0.49,10.39
normal,1,2,209.64,0.0,4.77
normal,128,2,1704.13,0.76,75.01
normal,2,2,390.19,0.08,5.12
normal,32,2,1346.15,0.62,23.76
normal,512,2,1847.77,0.83,275.46
normal,64,2,1548.74,0.7,41.29
normal,8,2,961.28,0.34,8.32
normal,1,32,131.51,0.0,7.6
normal,128,32,819.37,0.35,155.85
normal,2,32,251.72,0.01,7.94
normal,32,32,860.49,0.14,37.17
normal,512,32,672.95,0.61,756.81
normal,64,32,861.94,0.22,74.19
normal,8,32,636.24,0.04,12.57
normal,1,4,192.45,0.0,5.19
normal,128,4,2034.53,0.69,62.82
normal,2,4,353.42,0.04,5.66
normal,32,4,1798.42,0.5,17.78
normal,512,4,1856.42,0.8,274.24
normal,64,4,2019.13,0.62,31.67
normal,8,4,1027.43,0.21,7.78
normal,1,64,126.17,0.01,7.92
normal,128,64,618.29,0.21,206.53
normal,2,64,227.6,0.01,8.78
normal,32,64,666.25,0.08,48.0
normal,512,64,574.5,0.48,887.39
normal,64,64,649.64,0.12,98.42
normal,8,64,497.8,0.02,16.07
normal,1,8,171.16,0.0,5.84
normal,128,8,1899.54,0.61,67.29
normal,2,8,343.88,0.02,5.81
normal,32,8,1894.65,0.35,16.8
normal,512,8,1796.01,0.75,282.91
normal,64,8,2047.12,0.5,31.24
normal,8,8,1006.98,0.12,7.94
