clients,size,initialStock,amountLimit,isolation,noCollisions,adjustAlgorithm,time (s),nodes,ar
8,1,0,3,4,false,binary,0,0,0
8,1,0,3,4,false,binary,1,1,0.873323398
8,1,0,3,4,false,binary,1,1,0.873323398
8,1,0,3,4,false,binary,2,2,0.826457105
8,1,0,3,4,false,binary,2,2,0.826457105
8,1,0,3,4,false,binary,3,3,0.754064338
8,1,0,3,4,false,binary,3,4,0.74516129
8,1,0,3,4,false,binary,4,4,0.738405072
8,1,0,3,4,false,binary,4,4,0.738405072
8,1,0,3,4,false,binary,5,5,0.70310745
8,1,0,3,4,false,binary,5,5,0.70310745
8,1,0,3,4,false,binary,6,6,0.688909774
8,1,0,3,4,false,binary,6,6,0.68688339
8,1,0,3,4,false,binary,7,7,0.608431703
8,1,0,3,4,false,binary,7,7,0.603914414
8,1,0,3,4,false,binary,8,8,0.581280788
8,1,0,3,4,false,binary,8,8,0.571486514
8,1,0,3,4,false,binary,9,9,0.485888993
8,1,0,3,4,false,binary,9,9,0.495553257
8,1,0,3,4,false,binary,10,10,0.499521531
8,1,0,3,4,false,binary,10,10,0.490526986
8,1,0,3,4,false,binary,11,11,0.478442728
8,1,0,3,4,false,binary,11,11,0.482939216
8,1,0,3,4,false,binary,12,12,0.437994723
8,1,0,3,4,false,binary,12,12,0.433278418
8,1,0,3,4,false,binary,13,13,0.40046373
8,1,0,3,4,false,binary,13,13,0.403895627
8,1,0,3,4,false,binary,14,14,0.374713522
8,1,0,3,4,false,binary,14,14,0.379603892
8,1,0,3,4,false,binary,15,15,0.357575758
8,1,0,3,4,false,binary,15,15,0.353087649
8,1,0,3,4,false,binary,16,16,0.339573919
8,1,0,3,4,false,binary,16,16,0.345876029
8,1,0,3,4,false,binary,17,17,0.341346154
8,1,0,3,4,false,binary,17,17,0.336783989
8,1,0,3,4,false,binary,18,18,0.349140893
8,1,0,3,4,false,binary,18,18,0.338053097
8,1,0,3,4,false,binary,19,19,0.334784502
8,1,0,3,4,false,binary,19,19,0.337450124
8,1,0,3,4,false,binary,20,20,0.331478906
8,1,0,3,4,false,binary,20,20,0.333333333
8,1,0,3,4,false,binary,21,21,0.327852349
8,1,0,3,4,false,binary,21,21,0.320436339
8,1,0,3,4,false,binary,22,22,0.326458037
8,1,0,3,4,false,binary,22,22,0.308243034
8,1,0,3,4,false,binary,23,23,0.301321586
8,1,0,3,4,false,binary,23,23,0.301239669
8,1,0,3,4,false,binary,24,24,0.292503675
8,1,0,3,4,false,binary,24,24,0.291348878
8,1,0,3,4,false,binary,25,25,0.284926471
8,1,0,3,4,false,binary,25,25,0.289375856
8,1,0,3,4,false,binary,26,26,0.288082902
8,1,0,3,4,false,binary,26,26,0.292467532
8,1,0,3,4,false,binary,27,27,0.281709881
8,1,0,3,4,false,binary,27,27,0.28
8,1,0,3,4,false,binary,28,28,0.296712803
8,1,0,3,4,false,binary,28,28,0.289434245
8,1,0,3,4,false,binary,29,29,0.27753304
8,1,0,3,4,false,binary,29,29,0.275263952
8,1,0,3,4,false,binary,30,30,0.253954306
8,1,0,3,4,false,binary,30,30,0.256315585
8,1,0,3,4,false,binary,31,31,0.243629861
8,1,0,3,4,false,binary,31,31,0.23820179
8,1,0,3,4,false,binary,32,32,0.240018357
8,1,0,3,4,false,binary,32,32,0.240320688
8,1,0,3,4,false,binary,33,33,0.230639018
8,1,0,3,4,false,binary,33,33,0.226571321
8,1,0,3,4,false,binary,34,34,0.200317965
8,1,0,3,4,false,binary,34,34,0.207917129
8,1,0,3,4,false,binary,35,35,0.193173002
8,1,0,3,4,false,binary,35,35,0.21500091
8,1,0,3,4,false,binary,36,36,0.208994709
8,1,0,3,4,false,binary,36,36,0.203810947
8,1,0,3,4,false,binary,37,37,0.204055767
8,1,0,3,4,false,binary,37,37,0.212200523
8,1,0,3,4,false,binary,38,38,0.211166141
8,1,0,3,4,false,binary,38,38,0.209759788
8,1,0,3,4,false,binary,39,39,0.187397035
8,1,0,3,4,false,binary,39,39,0.195558065
8,1,0,3,4,false,binary,40,40,0.199746085
8,1,0,3,4,false,binary,40,40,0.204358068
8,1,0,3,4,false,binary,41,41,0.186698337
8,1,0,3,4,false,binary,41,41,0.190574618
8,1,0,3,4,false,binary,42,42,0.184470377
8,1,0,3,4,false,binary,42,42,0.178443114
8,1,0,3,4,false,binary,43,43,0.183723798
8,1,0,3,4,false,binary,43,43,0.188785047
8,1,0,3,4,false,binary,44,44,0.173264487
8,1,0,3,4,false,binary,44,44,0.177029361
8,1,0,3,4,false,binary,45,45,0.177456917
8,1,0,3,4,false,binary,45,45,0.174845361
8,1,0,3,4,false,binary,46,46,0.18083729
8,1,0,3,4,false,binary,46,46,0.175091293
8,1,0,3,4,false,binary,47,47,0.164551607
8,1,0,3,4,false,binary,47,47,0.166236858
8,1,0,3,4,false,binary,48,48,0.157799274
8,1,0,3,4,false,binary,48,48,0.161851016
8,1,0,3,4,false,binary,49,49,0.157926103
8,1,0,3,4,false,binary,49,49,0.156401093
8,1,0,3,4,false,binary,50,50,0.155887231
8,1,0,3,4,false,binary,50,50,0.163511188
8,1,0,3,4,false,binary,51,51,0.158681319
8,1,0,3,4,false,binary,51,51,0.155073892
8,1,0,3,4,false,binary,52,52,0.16969697
8,1,0,3,4,false,binary,52,52,0.160853942
8,1,0,3,4,false,binary,53,53,0.166969147
8,1,0,3,4,false,binary,53,53,0.153692171
8,1,0,3,4,false,binary,54,54,0.162546354
8,1,0,3,4,false,binary,54,54,0.155287818
8,1,0,3,4,false,binary,55,55,0.138170347
8,1,0,3,4,false,binary,55,55,0.141675978
8,1,0,3,4,false,binary,56,56,0.145135566
8,1,0,3,4,false,binary,56,56,0.146482814
8,1,0,3,4,false,binary,57,57,0.138601572
8,1,0,3,4,false,binary,57,57,0.13638936
8,1,0,3,4,false,binary,58,58,0.130376344
8,1,0,3,4,false,binary,58,58,0.134549601
8,1,0,3,4,false,binary,59,59,0.12667091
8,1,0,3,4,false,binary,59,59,0.136193155
8,1,0,3,4,false,binary,60,60,0.120218579
8,1,0,3,4,false,binary,60,60,0.12700203
8,1,0,3,4,false,binary,61,61,0.152592593
8,1,0,3,4,false,binary,61,61,0.164477141
8,1,0,3,4,false,binary,62,62,0.152565881
8,1,0,3,4,false,binary,62,62,0.164699571
8,1,0,3,4,false,binary,63,63,0.161325967
8,1,0,3,4,false,binary,63,63,0.160540849
8,1,0,3,4,false,binary,64,64,0.139050388
8,1,0,3,4,false,binary,64,64,0.153297683
8,1,0,3,4,false,binary,65,65,0.161148978
8,1,0,3,4,false,binary,65,65,0.160418964
8,1,0,3,4,false,binary,66,66,0.16487069
8,1,0,3,4,false,binary,66,66,0.160400529
8,1,0,3,4,false,binary,67,67,0.152688172
8,1,0,3,4,false,binary,67,67,0.146311475
8,1,0,3,4,false,binary,68,68,0.150877193
8,1,0,3,4,false,binary,68,68,0.156217236
8,1,0,3,4,false,binary,69,69,0.163558106
8,1,0,3,4,false,binary,69,69,0.156567426
8,1,0,3,4,false,binary,70,70,0.149260849
8,1,0,3,4,false,binary,70,70,0.147096538
8,1,0,3,4,false,binary,71,71,0.153772225
8,1,0,3,4,false,binary,71,71,0.146813421
8,1,0,3,4,false,binary,72,72,0.142651987
8,1,0,3,4,false,binary,72,72,0.147824568
8,1,0,3,4,false,binary,73,73,0.14237936
8,1,0,3,4,false,binary,73,73,0.139171069
8,1,0,3,4,false,binary,74,74,0.129240711
8,1,0,3,4,false,binary,74,74,0.137433722
8,1,0,3,4,false,binary,75,75,0.134908912
8,1,0,3,4,false,binary,75,75,0.14261745
8,1,0,3,4,false,binary,76,76,0.134036145
8,1,0,3,4,false,binary,76,76,0.140598209
8,1,0,3,4,false,binary,77,77,0.149267832
8,1,0,3,4,false,binary,77,77,0.14552374
8,1,0,3,4,false,binary,78,78,0.140342298
8,1,0,3,4,false,binary,78,78,0.139340843
8,1,0,3,4,false,binary,79,79,0.135269122
8,1,0,3,4,false,binary,79,79,0.137609214
8,1,0,3,4,false,binary,80,80,0.139481707
8,1,0,3,4,false,binary,80,80,0.128519235
8,1,0,3,4,false,binary,81,81,0.135321101
8,1,0,3,4,false,binary,81,81,0.12987013
8,1,0,3,4,false,binary,82,82,0.133265514
8,1,0,3,4,false,binary,82,82,0.130536131
8,1,0,3,4,false,binary,83,83,0.114808652
8,1,0,3,4,false,binary,83,83,0.119520958
8,1,0,3,4,false,binary,84,84,0.118536197
8,1,0,3,4,false,binary,84,84,0.11993517
8,1,0,3,4,false,binary,85,85,0.113442113
8,1,0,3,4,false,binary,85,85,0.12455516
8,1,0,3,4,false,binary,86,86,0.131445171
8,1,0,3,4,false,binary,86,86,0.124708378
8,1,0,3,4,false,binary,87,87,0.123834197
8,1,0,3,4,false,binary,87,87,0.124538566
8,1,0,3,4,false,binary,88,88,0.123371648
8,1,0,3,4,false,binary,88,88,0.120218579
8,1,0,3,4,false,binary,89,89,0.110526316
8,1,0,3,4,false,binary,89,89,0.1228223
8,1,0,3,4,false,binary,90,90,0.128325509
8,1,0,3,4,false,binary,90,90,0.124122807
8,1,0,3,4,false,binary,91,91,0.133131619
