type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,0,100,25656.33333,0.034551877,2.415114702,3678.604731,1.097492587,4.680799,2.383970264,2.446737095,7.187296417,1.148864425,1.282464696,1.312457434,112.0148833
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,250,100,19045.48333,0.041525301,3.236004034,8372.427477,1.963524978,7.398527,3.195960428,3.276631105,26.49903661,99.01075269,1.128765013,1.181762555,99.25753012
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,500,100,30993.65,0.051207051,1.980141487,5472.335603,0.95066154,2.650486,1.958129077,2.002415406,26.81274131,80.38938053,0.960029529,1.017514165,47.73150358
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,750,100,27196.18333,0.060406708,2.229384461,5170.095613,1.228364098,3.94419,2.207384971,2.251642891,24.28409091,120.6052632,0.950086109,1.07233373,45.35688836
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,100,20329.98333,0.078054071,2.942440755,9366.15405,1.957625855,6.174035,2.911044304,2.974355037,29.61462451,222.037037,0.972240416,1.071198852,54.60853175
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,2000,100,29901.41667,0.137668499,1.899446036,1537.811525,1.794138789,2.485412,1.882757223,1.9163247,33.58333333,259.6333333,0.77418132,0.866822182,18.4649882
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,3000,100,26696.81667,0.181700498,1.999069959,6571.199798,2.118993781,2.906833,1.984391705,2.013904473,35.29012346,240.6190476,0.669538389,0.754919819,9.956420233
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,4000,100,21458.9,0.260808135,2.303489528,6980.643795,2.742336825,3.57613,2.289031867,2.31808896,40.25641026,205.125,0.572777539,0.676194076,4.890491037
mrv,64,8,uniform,1000,uniform,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,5000,100,27684.33333,0.313721885,1.666824663,8000.814033,2.769940762,2.046248,1.659246968,1.674449088,48.57918552,144.9230769,0.317068713,0.372932974,0.56943367
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,0,100,21571.9,0.026272235,2.899121988,7054.773519,1.076408805,4.861525,2.844220412,2.954122571,14.65156794,2.341091552,0.852644243,0.907120497,38.04782082
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,250,100,30512.53333,0.037764073,2.036470245,4474.247987,0.584339067,2.843691,1.97403216,2.099245104,25.22201139,36.02620087,0.519410108,0.557808067,5.03660221
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,500,100,21419.46667,0.0435411,2.883009517,8499.971827,0.986130757,4.622975,2.851078165,2.91486156,29.96039604,66.95652174,0.478731846,0.526287269,3.498009554
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,750,100,20080.58333,0.047482955,3.066778707,7184.588499,0.929091507,4.657355,3.045716751,3.087880453,29.8970297,85.17721519,0.405326766,0.456299424,1.827815226
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,1000,100,19787.28333,0.049485728,3.106813546,7960.544722,0.999039109,4.724763,3.089674357,3.123969402,30.50695825,107.5,0.381922894,0.41305093,1.288065028
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,2000,100,25903.05,0.060770199,2.348724933,6776.564796,0.79293043,3.504576,2.359471778,2.337997115,25.67304015,170.5806452,0.366986137,0.411183914,1.20922407
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,3000,100,22561.75,0.071325276,2.676018568,6604.26985,0.94332917,4.018707,2.661806337,2.690263277,28.28767123,257.7619048,0.296470011,0.3319011,0.658438238
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,4000,100,23442.53333,0.082972741,2.550998344,7672.547764,1.050660041,4.013058,2.535823308,2.566240809,27.96881092,335.3125,0.254855138,0.269506135,0.558915947
mrv,64,8,uniform,1000,uniform,1,8192,3,4,false,64,all,minmax,100,1,0,1000,linear,5000,100,28815.76667,0.090350628,2.063081034,9441.565534,1.076217079,3.229625,2.043822656,2.08235916,25.3721374,301,0.250269558,0.277806837,0.386825645
