clients,size,initialStock,amountLimit,isolation,noCollisions,adjustAlgorithm,time,nodes,ar
8,256,8192,3,4,false,linear,92419,376,0.03136025088200706
8,256,8192,3,4,false,linear,39171,318,0.018037518037518036
8,256,8192,3,4,false,linear,52227,329,0.01634472511144131
8,256,8192,3,4,false,linear,26116,321,0.021534320323014805
8,256,8192,3,4,false,linear,13062,328,0.01595037660611431
8,256,8192,3,4,false,linear,118535,404,0.03302752293577982
8,256,8192,3,4,false,linear,9,256,0.0
8,256,8192,3,4,false,linear,78347,389,0.02774991641591441
8,256,8192,3,4,false,linear,130570,325,0.012944983818770227
8,256,8192,3,4,false,linear,155662,321,0.013561511139812722
8,256,8192,3,4,false,linear,64271,362,0.032533550223668155
8,256,8192,3,4,false,linear,168717,328,0.0
8,256,8192,3,4,false,linear,105489,376,0.029047697639874567
8,256,8192,3,4,false,linear,142610,325,0.017121891561353443
8,256,8192,3,4,false,linear,154646,354,0.0
8,256,8192,3,4,false,linear,12055,333,0.01693290734824281
8,256,8192,3,4,false,linear,38168,316,0.020030816640986132
8,256,8192,3,4,false,linear,25113,326,0.01327433628318584
8,256,8192,3,4,false,linear,51225,324,0.018361581920903956
8,256,8192,3,4,false,linear,91416,420,0.025220680958385876
8,256,8192,3,4,false,linear,104477,384,0.028423772609819122
8,256,8192,3,4,false,linear,117533,399,0.029561671763506627
8,256,8192,3,4,false,linear,77345,404,0.021529324424647365
8,256,8192,3,4,false,linear,167714,328,0.0182370820668693
8,256,8192,3,4,false,linear,129568,313,0.01430615164520744
8,256,8192,3,4,false,linear,63267,399,0.03821656050955414
8,256,8192,3,4,false,linear,179748,325,0.017923036373220874
8,256,8192,3,4,false,linear,90408,374,0.03397683397683398
8,256,8192,3,4,false,linear,141608,308,0.021052631578947368
8,256,8192,3,4,false,linear,153641,316,0.018800358102059087
8,256,8192,3,4,false,linear,37165,307,0.018525817895151755
8,256,8192,3,4,false,linear,11054,365,0.011574074074074073
8,256,8192,3,4,false,linear,24110,333,0.016079965232507605
8,256,8192,3,4,false,linear,62254,369,0.027968337730870714
8,256,8192,3,4,false,linear,50224,323,0.018340857787810385
8,256,8192,3,4,false,linear,116531,421,0.025896796470362554
8,256,8192,3,4,false,linear,103474,384,0.028927963698241632
8,256,8192,3,4,false,linear,178742,327,0.0196514645902855
8,256,8192,3,4,false,linear,76342,359,0.03644578313253012
8,256,8192,3,4,false,linear,128566,311,0.01327433628318584
8,256,8192,3,4,false,linear,36152,310,0.0
8,256,8192,3,4,false,linear,89401,374,0.030062922395711955
8,256,8192,3,4,false,linear,166713,325,0.018001241464928614
8,256,8192,3,4,false,linear,152639,306,0.01939655172413793
8,256,8192,3,4,false,linear,140605,321,0.02329450915141431
8,256,8192,3,4,false,linear,23107,328,0.014576271186440677
8,256,8192,3,4,false,linear,10052,328,0.01614142966948501
8,256,8192,3,4,false,linear,61252,330,0.04067070995362112
8,256,8192,3,4,false,linear,49222,323,0.022909507445589918
8,256,8192,3,4,false,linear,115529,443,0.027253668763102725
8,256,8192,3,4,false,linear,102472,381,0.030451332245785754
8,256,8192,3,4,false,linear,127563,320,0.014761544284632853
8,256,8192,3,4,false,linear,151630,325,0.013229571984435798
8,256,8192,3,4,false,linear,75340,364,0.026771372479029092
8,256,8192,3,4,false,linear,165711,337,0.015737983836665248
8,256,8192,3,4,false,linear,35150,310,0.006211180124223602
8,256,8192,3,4,false,linear,177740,334,0.015723270440251572
8,256,8192,3,4,false,linear,88398,363,0.029231266149870802
8,256,8192,3,4,false,linear,139602,318,0.0121765601217656
8,256,8192,3,4,false,linear,60244,304,0.018764926646195838
8,256,8192,3,4,false,linear,34134,322,0.010996563573883162
8,256,8192,3,4,false,linear,22104,360,0.012552301255230125
8,256,8192,3,4,false,linear,9049,332,0.017125064867669952
8,256,8192,3,4,false,linear,48220,322,0.020347097546379412
8,256,8192,3,4,false,linear,101470,414,0.028684470820969338
8,256,8192,3,4,false,linear,114526,405,0.03260569218016027
8,256,8192,3,4,false,linear,126561,310,0.016972351491924446
8,256,8192,3,4,false,linear,176738,334,0.02054794520547945
8,256,8192,3,4,false,linear,74336,399,0.021034180543382998
8,256,8192,3,4,false,linear,87396,367,0.024860161591050343
8,256,8192,3,4,false,linear,138599,308,0.017811704834605598
8,256,8192,3,4,false,linear,113511,407,0.030103480714957668
8,256,8192,3,4,false,linear,150628,324,0.01782583284628872
8,256,8192,3,4,false,linear,164708,326,0.019284603421461897
8,256,8192,3,4,false,linear,59240,352,0.023809523809523808
8,256,8192,3,4,false,linear,33132,326,0.017988929889298892
8,256,8192,3,4,false,linear,21101,318,0.025746652935118436
8,256,8192,3,4,false,linear,8047,308,0.021585557299843013
8,256,8192,3,4,false,linear,47218,320,0.018625827814569538
8,256,8192,3,4,false,linear,100467,376,0.033856317093311314
8,256,8192,3,4,false,linear,73333,380,0.030499675535366644
8,256,8192,3,4,false,linear,125558,315,0.020556227327690448
8,256,8192,3,4,false,linear,86393,369,0.027448714244438024
8,256,8192,3,4,false,linear,149626,337,0.01948051948051948
8,256,8192,3,4,false,linear,163706,360,0.02064896755162242
8,256,8192,3,4,false,linear,175736,313,0.022799240025332488
8,256,8192,3,4,false,linear,112508,407,0.030542071197411005
8,256,8192,3,4,false,linear,137596,311,0.014179104477611941
8,256,8192,3,4,false,linear,58239,327,0.015625
8,256,8192,3,4,false,linear,32130,321,0.019447287615148412
8,256,8192,3,4,false,linear,7043,305,0.015533980582524271
8,256,8192,3,4,false,linear,20099,311,0.017207147584381206
8,256,8192,3,4,false,linear,99458,361,0.031949685534591196
8,256,8192,3,4,false,linear,85382,356,0.033566433566433566
8,256,8192,3,4,false,linear,72329,400,0.026941696484950536
8,256,8192,3,4,false,linear,46217,328,0.015111111111111112
8,256,8192,3,4,false,linear,124556,335,0.012987012987012988
8,256,8192,3,4,false,linear,162703,317,0.02127659574468085
8,256,8192,3,4,false,linear,19087,299,0.0169971671388102
8,256,8192,3,4,false,linear,174733,315,0.014799154334038054
8,256,8192,3,4,false,linear,148624,325,0.016751638747268753
8,256,8192,3,4,false,linear,111506,458,0.03110047846889952
8,256,8192,3,4,false,linear,136593,322,0.012295081967213115
8,256,8192,3,4,false,linear,57237,317,0.01768292682926829
8,256,8192,3,4,false,linear,31128,342,0.021341463414634148
8,256,8192,3,4,false,linear,6041,322,0.022922636103151862
8,256,8192,3,4,false,linear,98456,352,0.02786474639949906
8,256,8192,3,4,false,linear,45210,350,0.005802707930367505
8,256,8192,3,4,false,linear,84378,401,0.024714828897338403
8,256,8192,3,4,false,linear,71327,435,0.02301255230125523
8,256,8192,3,4,false,linear,123552,349,0.016134236850596968
8,256,8192,3,4,false,linear,173729,319,0.014067278287461774
8,256,8192,3,4,false,linear,135590,338,0.011784511784511785
8,256,8192,3,4,false,linear,147622,333,0.015454545454545455
8,256,8192,3,4,false,linear,18085,310,0.012853470437017995
8,256,8192,3,4,false,linear,110503,398,0.03236862147753237
8,256,8192,3,4,false,linear,83366,363,0.02506142506142506
8,256,8192,3,4,false,linear,161701,334,0.01619234543670265
8,256,8192,3,4,false,linear,5033,301,0.009865470852017937
8,256,8192,3,4,false,linear,44202,324,0.017241379310344827
8,256,8192,3,4,false,linear,56235,310,0.015002143163309044
