clients,size,initialStock,amountLimit,isolation,noCollisions,adjustAlgorithm,time,nodes,ar
8,256,8192,3,4,false,linear,167294,256,0.01916221
8,256,8192,3,4,false,linear,138241,256,0.022150086
8,256,8192,3,4,false,linear,64100,256,0.087085149
8,256,8192,3,4,false,linear,58091,256,0.021084337
8,256,8192,3,4,false,linear,145254,256,0.022483498
8,256,8192,3,4,false,linear,121210,256,0.020545239
8,256,8192,3,4,false,linear,99169,256,0.07834845
8,256,8192,3,4,false,linear,162287,256,0.022696011
8,256,8192,3,4,false,linear,159283,256,0.02012957
8,256,8192,3,4,false,linear,2022,256,0.019032514
8,256,8192,3,4,false,linear,57090,256,0.023809524
8,256,8192,3,4,false,linear,153275,256,0.018872114
8,256,8192,3,4,false,linear,158281,256,0.022305654
8,256,8192,3,4,false,linear,102174,256,0.082566446
8,256,8192,3,4,false,linear,80131,256,0.080054515
8,256,8192,3,4,false,linear,149263,256,0.021152115
8,256,8192,3,4,false,linear,175305,256,0.020226342
8,256,8192,3,4,false,linear,112191,256,0.079785773
8,256,8192,3,4,false,linear,93159,256,0.082169215
8,256,8192,3,4,false,linear,95162,256,0.080683497
8,256,8192,3,4,false,linear,27050,256,0.02124431
8,256,8192,3,4,false,linear,13033,256,0.0163143
8,256,8192,3,4,false,linear,114195,256,0.081682953
8,256,8192,3,4,false,linear,173302,256,0.020909312
8,256,8192,3,4,false,linear,117201,256,0.082717659
8,256,8192,3,4,false,linear,40069,256,0.016462704
8,256,8192,3,4,false,linear,26048,256,0.019697742
8,256,8192,3,4,false,linear,137239,256,0.022854513
8,256,8192,3,4,false,linear,56088,256,0.022146508
8,256,8192,3,4,false,linear,61095,256,0.073681273
8,256,8192,3,4,false,linear,128222,256,0.025578064
8,256,8192,3,4,false,linear,127220,256,0.019493986
8,256,8192,3,4,false,linear,101172,256,0.077214961
8,256,8192,3,4,false,linear,130226,256,0.02529511
8,256,8192,3,4,false,linear,1020,256,0.019796683
8,256,8192,3,4,false,linear,118203,256,0.080263065
8,256,8192,3,4,false,linear,161285,256,0.023451327
8,256,8192,3,4,false,linear,19040,256,0.020605398
8,256,8192,3,4,false,linear,55087,256,0.021519353
8,256,8192,3,4,false,linear,65101,256,0.08496462
8,256,8192,3,4,false,linear,87146,256,0.07934141
8,256,8192,3,4,false,linear,24046,256,0.020393812
8,256,8192,3,4,false,linear,164290,256,0.022837066
8,256,8192,3,4,false,linear,124215,256,0.0237874
8,256,8192,3,4,false,linear,111189,256,0.082593672
8,256,8192,3,4,false,linear,51082,256,0.021132484
8,256,8192,3,4,false,linear,157280,256,0.022572402
8,256,8192,3,4,false,linear,32056,256,0.019553588
8,256,8192,3,4,false,linear,85142,256,0.087205794
8,256,8192,3,4,false,linear,28051,256,0.021199586
8,256,8192,3,4,false,linear,9029,256,0.021342513
8,256,8192,3,4,false,linear,166292,256,0.023298731
8,256,8192,3,4,false,linear,68107,256,0.086646392
8,256,8192,3,4,false,linear,72115,256,0.080497925
8,256,8192,3,4,false,linear,105179,256,0.081082977
8,256,8192,3,4,false,linear,115197,256,0.080503055
8,256,8192,3,4,false,linear,22044,256,0.023058908
8,256,8192,3,4,false,linear,39068,256,0.023166593
8,256,8192,3,4,false,linear,73117,256,0.078328344
8,256,8192,3,4,false,linear,180313,256,0.020326367
8,256,8192,3,4,false,linear,34058,256,0.017612524
8,256,8192,3,4,false,linear,30054,256,0.021291952
