type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,0,18084.3,0.270525704,2.795251162,2764.117016,1.965220188,3.817756,2.781679435,2.812062095,858.6911765,1057,0,0,0.580972958
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,2,19087.35,0.234109273,2.784091242,2988.26689,1.928888571,3.80664,2.773251083,2.797338851,534.9803922,987.4242424,1.37E-04,0.437442077,5.90E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,5,18583.45,0.190429999,3.018203649,4666.288506,1.785652756,4.5687,3.008243743,3.030280383,882.1060606,1290.322581,4.66E-04,0.944169242,5.76E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,7,19229.53333,0.208383191,2.854276635,3169.367102,1.579490638,3.899871,2.843853047,2.866919165,731.6582278,1275.344828,3.36E-04,0.673044485,5.73E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,10,19895.83333,0.175649071,2.863304833,4599.607124,1.930502237,4.443852,2.850418261,2.878870372,799.3972603,1455.185185,6.71E-04,0.885382807,5.71E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,20,22749.56667,0.141404827,2.580928556,2880.650389,1.425679066,3.506958,2.569765372,2.594222627,723.425,1605.6,8.81E-04,1.017020239,5.55E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,30,22500.71667,0.146266458,2.584719623,3038.505193,1.725236364,3.510572,2.572206386,2.599667393,527.625,1882.521739,8.11E-04,1.101154983,5.55E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,40,22433.2,0.127326764,2.634499222,2939.809797,1.817382489,3.586918,2.622922395,2.648265881,716.7037037,2120.428571,9.26E-04,1.146213242,5.94E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,50,20856.65,0.135651205,2.842314434,4334.945309,1.552682306,4.487364,2.826128135,2.86170464,982.6393443,2152.952381,1.05E-03,1.097927995,5.60E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,60,22631.28333,0.137462118,2.601718903,3394.699197,1.768811676,3.533135,2.587590903,2.618548655,436.3833333,2020.181818,1.11E-03,1.126168926,5.63E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,70,20242.06667,0.135147837,2.909404087,2189.537633,1.806357229,4.01791,2.893919379,2.928105399,1643.368421,2328.25,9.80E-04,1.117655587,6.02E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,80,23166.63333,0.123925626,2.584569325,3498.997334,1.497923892,3.504154,2.572435005,2.598984833,731.6875,2287,1.05E-03,1.286290635,5.82E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,90,20496.83333,0.132466089,2.896801441,2154.33946,1.797913842,3.97301,2.885048249,2.910927612,715.9873418,3045.294118,9.30E-04,1.110250416,6.11E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,100,22335.91667,0.138177289,2.621655574,2717.672288,2.006297894,3.570063,2.608257993,2.637625808,1098.418182,2638.833333,1.06E-03,1.049366606,5.67E-01
mrv,64,100000,uniform,100,powerlaw,1,0,3,4,false,1,all,minmax,100,1,0,1000,linear,1000,200,22936.81667,0.12181611,2.614543813,2812.883638,1.456061546,3.590264,2.604616572,2.626338596,1228.265306,2513.3,1.09E-03,1.171426123,5.81E-01
