type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,2,balance,all,100,1,0,1000,linear,1000,100,20485.95,0.46951229,1.815577441,2066.465969,2.970750666,2.601661,1.77879857,1.81561887,279.091954,0,0.071638297,0.134895357,0.385620595
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,4,balance,all,100,1,0,1000,linear,1000,100,26803.85,0.350051609,1.692018914,3676.219549,2.529699994,2.170625,1.707180189,1.692001812,332.1372549,0,0.161722766,0.295428262,0.666372549
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,8,balance,all,100,1,0,1000,linear,1000,100,28182.01667,0.288065637,1.777594788,3496.089957,2.185737436,2.313043,1.795595444,1.777574752,307.0493827,0,0.200632724,0.328794631,1.426906988
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,16,balance,all,100,1,0,1000,linear,1000,100,29340.95,0.258450209,1.732358951,3277.195182,1.724299648,2.196179,1.800504868,1.732283384,415.3125,0,0.393941466,0.643613623,3.076632166
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,32,balance,all,100,1,0,1000,linear,1000,100,30819.13333,0.187395933,1.759805477,2834.647796,1.492892705,2.229609,1.847012567,1.759707414,381.3722628,0,0.461154988,0.902883645,4.771451056
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,all,100,1,0,1000,linear,1000,100,24110.01667,0.300340978,1.997307833,2204.573887,1.791626364,2.72925,2.143834839,1.99713107,510.4351852,0,0.821811804,1.497958684,17.234308
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,128,balance,all,100,1,0,1000,linear,1000,100,20412.6,0.361499675,2.1287343,1681.793654,1.947747193,2.949359,2.22011476,2.128624266,726.9625,0,1.459614095,2.283368333,43.40752827
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,256,balance,all,100,1,0,1000,linear,1000,100,13629.95,0.456038967,2.710245884,1421.023263,2.304287087,4.079605,3.006015209,2.709838449,845.8428571,0,2.49164053,4.206627939,122.4358431
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,512,balance,all,100,1,0,1000,linear,1000,100,6096.333333,0.607807397,4.359078586,1723.826904,2.930545852,7.222157,4.199087734,4.359353744,1081.803571,0,5.480056234,9.023687295,370.1260675
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,1024,balance,all,100,1,0,1000,linear,1000,100,3646.85,0.606735131,7.244505042,354.1598608,3.576864265,12.105163,6.303853575,7.245943077,1642.236842,0,15.17594112,24.61118485,917.364705
