type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,0,1,0,1000,linear,1000,100,29186.21667,0.227067104,1.816630637,2037.951152,1.523667826,2.327288,1.946197893,1.816481674,6.921016117,0,1.561805602,2.248826441,34.1401106
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,50,1,0,1000,linear,1000,100,28231.91667,0.22689244,1.882840962,2966.75776,1.484773637,2.530008,1.960172976,1.882754994,164.7687296,0,1.701996282,2.573047561,36.31952479
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,100,1,0,1000,linear,1000,100,27664.13333,0.271369166,1.836146641,2990.506923,1.733728532,2.365974,1.933629268,1.836036634,162.6230159,0,1.925065624,2.714499555,42.07493517
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,250,1,0,1000,linear,1000,100,27969.43333,0.251172437,1.831376509,2194.746339,2.366436443,2.340367,1.935508119,1.831258665,171.6305732,0,2.140534198,2.946294175,44.50841247
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,500,1,0,1000,linear,1000,100,26560.95,0.271356168,1.867380509,3034.607476,2.061125909,2.439246,1.996423529,1.867233375,198.1157895,0,2.490810177,3.924050597,49.14500778
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,750,1,0,1000,linear,1000,100,25824.81667,0.312656699,1.822544877,2213.40683,2.336266496,2.310034,1.95427588,1.822393886,201.7285714,0,2.857824693,3.751559222,53.94911458
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,1000,1,0,1000,linear,1000,100,24513.41667,0.344520741,1.845081208,2099.352827,2.506480617,2.352383,1.949550889,1.844964947,216.8363636,0,2.946588528,4.044398702,55.3702813
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,1500,1,0,1000,linear,1000,100,23180.61667,0.374502433,1.86304167,2702.247687,2.578117292,2.380759,1.878353167,1.863024642,261.1052632,0,3.382453011,4.812135354,57.52254056
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,2500,1,0,1000,linear,1000,100,23042.61667,0.374950495,1.860633932,2316.600517,2.826774923,2.366589,1.944592562,1.8605383,235.32,0,3.551415018,5.054775287,57.76278172
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,64,balance,minmax,5000,1,0,1000,linear,1000,100,21991.68333,0.403926807,1.868040414,2393.544408,2.791125262,2.375708,2.001101849,1.867887564,229.5384615,0,3.820332588,4.938351515,59.27008371
