type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,2,balance,minmax,100,1,0,1000,linear,1000,100,17074.38333,0.386464603,2.483027545,3075.247645,2.894422217,3.68152,2.398146434,2.483163228,318.9936709,0,0.039289,0.085166219,0.165593162
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,4,balance,minmax,100,1,0,1000,linear,1000,100,17731.68333,0.272407523,2.79254527,3240.864314,2.044143932,4.008817,2.548493048,2.792883405,279.3793103,0,0.13405469,0.264322594,0.361665189
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,4,balance,minmax,100,2,0,1000,linear,1000,100,23724.35,0.260973175,2.114106703,4035.13586,2.218257855,2.739191,2.121855419,2.114096144,307.0061728,0,0.0859444,0.267330191,0.274579894
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,8,balance,minmax,100,1,0,1000,linear,1000,100,23461.2,0.202614764,2.32104381,3927.442333,1.774741972,3.161194,2.388183848,2.320957179,186.7043478,0,0.279934185,0.603467502,1.025744755
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,8,balance,minmax,100,2,0,1000,linear,1000,100,24207.41667,0.218244733,2.217828398,3862.497933,1.565996075,2.940708,2.24952421,2.21778896,226.0049505,0,0.220109219,0.413447432,1.015181038
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,8,balance,minmax,100,4,0,1000,linear,1000,100,25107.08333,0.195767385,2.162574451,3773.109614,1.485383492,2.81132,2.197771975,2.162530751,319.3121019,0,0.165837475,0.356317243,0.74798666
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,16,balance,minmax,100,1,0,1000,linear,1000,100,24888.05,0.164246257,2.281073878,4059.933231,1.317765347,3.098655,2.328356917,2.281017862,171.2386831,0,0.581661633,1.075979982,3.255461891
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,16,balance,minmax,100,2,0,1000,linear,1000,100,26435.11667,0.152731029,2.168972667,3822.335167,1.046850408,2.843924,2.219010595,2.168913856,183.1330472,0,0.396667987,0.745899581,2.461700755
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,16,balance,minmax,100,4,0,1000,linear,1000,100,26511.05,0.169793172,2.142817288,3527.597557,0.982835855,2.793552,2.226875359,2.142717716,226.1485149,0,0.308766318,0.517166577,2.419142488
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,16,balance,minmax,100,8,0,1000,linear,1000,100,25289.51667,0.166281045,2.248288453,4164.737427,1.122315741,3.069494,2.285656872,2.248244615,342.5637584,0,0.279485532,0.508898042,2.233778341
mrv,64,64,uneven,1000,uniform,1,0,3,4,false,32,balance,minmax,100,1,0,1000,linear,1000,100,26726.63333,0.131344495,2.185621514,2661.466168,0.86577423,2.868049,2.272800009,2.185518644,152.2681992,0,0.9695581,1.634476994,9.702758986
