type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,0,linear,1000,1000,4842.6,0.735126167,2.499874952,1294.082406,3.337163234,3.579194,0,2.499874952,0,0,7.937253933,7.937253933,63
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,20,linear,1000,1000,9281.3,0.552047119,2.612283759,6262.431858,3.427778979,3.727627,0,2.612283759,1811.705882,0,7.912603849,7.937253933,62.973624
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,50,linear,1000,1000,19247.03333,0.153745309,2.814166218,4336.695874,3.0321887,4.063659,0,2.814166218,2075.766667,0,7.788632994,7.937253933,62.82427
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,70,linear,1000,1000,20223.78333,0.109616573,2.834601629,2490.447924,3.352207986,4.038674,0,2.834601629,2295,0,7.713348306,7.937253933,62.721748
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,100,linear,1000,1000,19120.06667,0.158981427,2.784791989,3989.485027,2.969808194,4.094269,0,2.784791989,3568.388889,0,7.77064024,7.937253933,62.79567556
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,200,linear,1000,1000,18729.53333,0.193087869,2.774310341,2660.292745,2.849859619,3.983701,0,2.774310341,8281.375,0,7.80877804,7.937253933,62.863532
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,300,linear,1000,1000,16462.8,0.242510945,2.881325989,4662.822415,3.034973337,4.187897,0,2.881325989,7394.222222,0,7.81523285,7.937253933,62.87588
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,400,linear,1000,1000,12643.71667,0.419305775,2.758497225,4020.187994,3.601974968,3.898812,0,2.758497225,8342.5,0,7.806832292,7.937253933,62.863984
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,500,linear,1000,1000,13482.83333,0.345232892,2.927252513,3232.539135,3.176557421,4.240845,0,2.927252513,8297.625,0,7.711107076,7.937253933,62.75008
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,600,linear,1000,1000,14919.63333,0.310765322,2.912659951,2062.846842,3.647852777,4.164252,0,2.912659951,9735,0,7.710345341,7.937253933,62.75649778
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,700,linear,1000,1000,11445.15,0.439850596,2.805316371,6175.218629,3.299181963,4.117962,0,2.805316371,14519.6,0,7.861071761,7.937253933,62.92739
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,800,linear,1000,1000,8343.033333,0.576635459,2.701978527,3767.76882,2.447029274,3.931733,0,2.701978527,14105.4,0,7.871233653,7.937253933,62.936852
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,900,linear,1000,1000,6986.916667,0.640418685,2.60177721,3235.942843,2.523829591,3.784003,0,2.60177721,17566,0,7.906977507,7.937253933,62.97252571
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,1000,linear,1000,1000,11242.36667,0.473128492,2.597244654,6644.716117,2.343087696,3.796465,0,2.597244654,16854,0,7.857420541,7.937253933,62.92302
mrv,64,100000,uneven,100000000,powerlaw,1,0,3,4,false,64,balance,minmax,100,4,0,2000,linear,1000,1000,15405.78333,0.22257014,3.230745925,2315.387776,3.549869434,4.923865,0,3.230745925,16210,0,7.710915704,7.937253933,62.78302286
