type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,746.8666667,0.969096472,1.446394185,208.432256,2.252207627,1.832042,0,1.446394185,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,769.1,0.967583561,1.420719033,194.2448095,2.147916636,2.007855,0,1.420719033,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,815.3,0.968297071,1.32904943,212.2487738,2.175655273,1.696419,0,1.32904943,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,786.1666667,0.96903598,1.383506264,225.22323,2.202099562,1.753613,0,1.383506264,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,805.95,0.967295282,1.356996454,246.1908426,2.284025776,1.975994,0,1.356996454,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,788.6166667,0.96845098,1.371234821,200.5259393,2.494725356,1.740641,0,1.371234821,0.071428571,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,727.9833333,0.969380323,1.484508619,203.4314307,2.417485188,1.891506,0,1.484508619,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,772.1166667,0.967797858,1.408225555,173.6031269,2.657533423,1.779446,0,1.408225555,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,746.4,0.968792421,1.444083407,209.0161286,2.665361477,1.846334,0,1.444083407,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,1,balance,minmax,5000,1,0,1000,linear,1000,100,738.55,0.969132831,1.461922763,196.3033545,2.974062576,1.814513,0,1.461922763,0,0,0,0,0
mrv,64,1,subs,1000,uniform,1,2000000000,3,4,false,2,balance,minmax,5000,1,0,1000,linear,1000,100,1183.3,0.953046321,1.755491971,297.1327616,3.575254017,2.211836,0,1.755491971,0,0,2.00E-07,2.00E-07,0
